,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P33219,12935.55867,1931,1770,1633,1192,7.72,2.55,6.39,10.42
P0A998,19393.38241,1160,1124,1011,762,13.47,11.39,4.6,2.42
P76576,22144.4226,554,519,401,369,12.66,5.48,8.56,5.54
P77541,32096.4598,23,947,757,491,24.08,15.26,10.97,4.45
P04951,27579.08508,340,249,196,193,9.72,6.18,8.54,2.97
P08390,36323.47208,409,327,317,273,4.67,8.72,11.63,7.43
P0A7Y0,25516.29773,602,464,410,321,3.13,3.2,13.62,11.86
P39406,37583.10489,413,299,246,231,8.93,3.48,6.64,8.55
P24255,53938.38989,220,205,181,180,4.49,6.04,8.6,4.31
P0ADA3,40106.35568,227,245,189,176,8.86,3.6,14.11,1.2
P0A8A4,31173.13955,259,240,199,178,9.83,7.62,1.64,7.8
P76187,33636.33205,586,565,648,957,14,23.85,12.44,13.55
P0A9R4,12304.8297,1891,1831,1346,1286,10.3,2.6,12.03,5.45
P15047,26215.26623,43,25,21,22,9.18,58.8,14.07,15.54
P68066,14257.42275,945,980,785,703,7.65,2.22,4.08,3.71
P45799,21121.78293,401,337,272,208,2.88,5.04,4.24,4.62
P0A7I7,21804.17238,212,151,118,91,8.5,8.8,11.54,17.79
P76128,57587.18518,33,67,70,80,18.4,10.57,9.73,6.5
P07913,37196.83116,214,264,227,225,7.42,4.75,14.79,5.4
P0ACP1,37957.71142,289,323,296,353,4.61,8.02,10.01,5.36
P77754,18169.28381,379,443,367,388,19.66,14.39,7.99,18.53
P32705,59140.38198,629,1405,1656,1913,5.42,8.8,12.46,7.13
P0ADT8,23044.13941,98,99,122,168,6.02,7.92,2.71,4.71
P75864,78786.50342,129,104,85,85,6.7,7.37,12.78,6.43
P19624,35073.53746,115,106,97,81,1.97,7.64,13.83,5.1
P0AEC3,87909.64099,62,55,58,51,5.09,12.73,8.68,3.85
P22333,36356.7357,257,412,571,512,14.19,1.03,3.62,9.64
P30870,108332.1443,56,63,66,53,23.86,6.29,18.46,17.41
P0A9S5,38669.68853,47,53,63,74,14.04,8.61,16.08,12.72
P0AEW9,33716.33963,114,79,68,78,12.64,14.6,20.55,17.65
P0A6I3,36319.00734,160,143,139,101,15.29,7.69,8.56,15.1
P0A7A2,24032.25041,334,303,258,209,4.7,12.09,9.89,12.07
P05852,35967.52524,116,88,64,58,5.26,4.84,6.82,18.22
P45579,39049.32603,575,321,390,312,4.47,2.95,1.93,4.21
P0A9J6,32252.84507,197,179,168,139,13.56,7.61,3.12,6.95
P32695,36768.40073,117,88,81,57,5.27,2.85,11.01,12.53
P21169,79347.93229,45,36,28,27,5.98,5.5,9.35,7.83
P15977,78435.23777,101,84,74,45,6.43,5.88,10.33,11.19
P0A812,37132.36379,155,139,129,107,6.65,15.3,6.73,6.26
P0A9B6,37258.20669,84,54,39,30,21.88,1.84,9.05,9.62
P28904,63779.12148,5,9,11,13,35.91,15.39,32.57,24.37
P30744,48703.47312,18,16,11,11,8.62,6.92,54.31,40.71
P08201,93044.21918,3,2,2,2,21.81,47.61,50.09,26.57
P0AEH5,11280.81214,8111,10328,10681,12740,30.66,1.33,14.89,5.44
P61175,12200.75881,35822,23088,17301,15806,2.25,4.85,9.22,2.47
P0A6F9,10362.57251,14111,12165,9436,8604,3.12,7.26,2.88,5.52
P61949,19706.53052,5684,4582,4047,4503,10.79,2.63,8.87,8.02
P0AF93,13585.13216,11281,8351,5447,5119,6.49,1.05,8.22,1.68
P0AG86,17248.23475,13572,14120,10686,8605,14.65,19.88,21.86,3.54
P0AEU7,17659.27147,6814,5664,4707,4636,3.65,8.12,3.8,5.25
P0A7M9,7847.90539,12726,9459,7671,6208,7.79,9.02,6.48,7.86
P0AFP6,26857.71166,4525,4545,4233,3864,3.21,13.05,8.13,5.12
P0A6Y1,10626.51305,3820,3669,3530,4278,7.16,1.56,0.72,8.07
P0A794,26349.544,689,743,1036,1035,19.6,26.77,26.16,6.8
P02413,14953.31259,9696,6463,5344,4183,17.97,8.27,3.18,3.75
P0AF12,24320.56199,2290,1702,1383,1137,7.34,7.65,14.13,9.82
P0A6Q6,17003.89284,5000,3851,3287,2858,5.82,4.68,17.73,3.03
P27434,36151.39435,1412,1335,1144,1417,5.41,10.25,8.46,1.93
P63020,20966.31212,2841,2335,1578,1284,3.73,2.66,1.77,3.86
P0AD59,16843.30219,1370,1503,1397,1362,17.36,4.12,4.6,8.89
P0A908,27795.47595,2127,1773,1370,949,4.31,2.82,7.42,2.88
P0AGE0,18945.23563,2812,2868,2584,2151,4.38,6.81,8.19,6.09
P0ADX7,16595.39276,100,153,147,192,19.59,22.5,19.42,7.65
P0A6Q3,18938.6743,2561,1880,1783,1515,4.37,12.82,9.34,4.24
P0A9M5,16941.77839,3165,2710,1815,1463,7.07,9.34,10.56,7.06
P0ADK0,25628.95569,1121,1005,818,850,4.09,6.56,6.87,8.35
P77529,48612.51547,2874,2100,1337,1286,16.69,4.93,9.79,3.99
P0AE88,26277.7507,709,729,660,833,10.7,11.22,6.92,7.75
P0ADV1,20096.38618,767,755,719,695,4.25,6.07,4.95,6.04
P30750,37746.71445,1322,876,906,900,12.66,6.73,0.99,5.95
P0A6U8,52771.06546,569,528,493,512,6.77,9.53,16.27,2.4
P0AGA2,48462.18023,853,678,535,570,5.64,9.63,14.64,4.25
P0A7G2,15126.78278,1071,873,794,720,3.22,7.51,7.06,2.85
P0A6I0,24713.0717,562,464,450,476,5.82,5.84,6.76,4.79
P0A8A0,26387.9,574,455,350,319,2.83,11.59,8.59,4.83
P52643,36493.43166,641,568,560,592,8.14,6.31,20.9,4.51
P07862,32800.79555,381,337,293,271,5.05,1.66,2.13,6.34
Q46871,28835.53263,472,298,256,227,16.11,2.68,12.71,7.32
P20966,57463.64429,239,213,228,243,8.94,1.72,7.24,3.48
P37188,10197.27069,41860,66083,45864,34568,2.37,16.67,4.35,3.11
P31677,53559.78131,246,257,295,340,14.87,4.64,4.73,6.98
P0A8W2,16324.93091,893,743,614,509,6.96,7.76,6.89,4.27
P25894,26807.19132,582,490,476,502,17.86,5.45,4.26,10.62
P0ADU2,11506.80837,455,387,330,287,7.05,2.81,7.26,2.1
P0A988,40542.71128,468,368,320,283,3.89,6.11,2.37,0.84
P10378,59057.1205,45,38,30,24,7.31,9.51,5.69,3.6
P65556,20344.90063,1801,1413,1046,878,9.78,1.98,10.42,8.93
P60664,28418.56168,456,372,398,259,10.39,8.1,6.84,5.51
P0AG27,15568.47178,1447,1212,1015,806,15.72,19.92,12.82,14.39
P40874,40858.33116,407,364,302,266,4.74,9.39,1.83,4.54
P0ACR9,20532.28755,682,411,256,174,4.74,7.15,2.62,4.63
P0A784,20784.47498,315,255,224,219,10.08,1.62,8.93,5.33
P0ABI4,36548.54499,502,452,630,657,24.14,13.92,13.03,6.63
P00861,46130.41262,736,516,326,194,8.45,7.7,5.13,7.79
P0A6C1,31441.66786,188,155,127,107,10.37,6.59,19.04,12.58
P0AD12,29643.15127,244,230,228,212,2.26,12.68,4.72,3.05
P0ACU7,21899.03054,425,484,552,456,15.23,0.89,4.36,8.11
P0AGK8,17307.89682,7181,4632,3916,2947,4.88,1.45,5.91,5
P67603,11879.8891,905,799,768,662,7.35,3.23,6.24,0.62
P0A7J0,23320.5293,265,152,174,98,20.99,27.04,30.05,7.87
P0A734,10210.47912,2587,2619,2042,1983,8.02,6.61,6.27,5.78
P30863,29400.44699,86,75,56,60,11.72,15.09,13.37,4.91
P25745,40915.58427,334,251,243,144,4.47,7.2,10.26,31.23
P77212,48195.91189,23,36,51,55,34.53,17.93,17.12,7.6
P69828,16878.77273,17605,19462,13134,10628,15.11,5.23,11.04,4.67
P09158,32282.72207,555,373,307,263,9.25,4.9,9.86,2.91
P39377,41040.22097,111,93,60,46,16.78,10.72,8.91,7.15
P0A9R7,24405.87198,233,209,171,193,12.15,10.37,7.54,13.04
P69874,42982.98678,243,205,136,146,2.77,7.25,5.26,5.63
P37634,31903.75488,146,116,100,83,19.55,11.72,16.99,2.27
P00887,38692.6325,171,118,69,66,7.46,18.23,4.75,11.82
P0ADX1,14489.33748,510,440,399,366,7.01,9,1.15,4.9
P76290,27740.85535,347,201,202,207,4.68,6.44,7.34,7.76
P62517,96856.94256,125,100,93,91,12.96,18.23,16.08,10.74
P61320,23517.96895,227,193,142,119,2.76,10.41,5.4,9.8
P0ADQ2,37052.70236,178,278,190,206,2.59,26.72,1.65,9.94
P33643,37080.22944,275,271,224,212,14.99,15.78,15,3.99
P69228,27620.56338,136,118,113,90,12.76,13.52,15.61,11.01
P07102,47009.32358,14,11,17,18,31.45,8.93,11.25,24
P0A7X6,20574.28939,468,361,258,226,2.83,5.04,1.8,5.97
Q57261,39049.19045,143,128,117,111,12.4,4.43,3.39,6.97
P63177,26521.8074,263,218,192,163,3.08,4.03,5.7,12.26
P0AFB8,52204.25517,57,42,54,63,6.91,1.79,8.68,9.39
P0AFI2,83760.44139,132,100,73,61,5.65,5.37,13.89,4.4
P0ABB8,99384.84487,43,52,82,135,9.22,11.64,17.53,5.92
P09029,39418.26516,137,79,60,47,4.44,12.26,1.93,5.72
P31808,27897.0141,194,188,176,167,11.7,11.59,12.75,18.28
P24203,35619.19065,193,168,146,102,11.67,3.46,10.4,8.57
P34209,29668.99626,181,176,210,231,10.04,7.15,2.13,9.5
P0AFV4,21008.75296,1567,1326,986,629,21.49,6.53,5.76,6.85
P09148,39602.51619,109,115,91,77,11.88,9.35,10.61,7.05
P0AEY5,21858.93304,561,433,349,247,6.76,3.15,4.31,10.82
P08194,50258.70958,71,82,71,69,12.86,3.25,6.46,7.11
P0AD05,25005.14471,665,589,558,499,6.32,13.33,9.59,4.41
P0ACI0,33105.8406,126,132,137,158,12.34,4.56,7.9,14.2
P0A9S1,40600.70263,91,154,195,247,8.44,1.83,3.02,4.16
P22731,26275.61303,207,192,187,144,5.79,5.54,8.13,4.44
Q5H777,53125.22576,306,521,505,416,11.49,3.09,6.87,18.73
P0ADP0,27086.85052,153,130,89,57,6.95,2.99,9.54,9.38
P0A8V6,26933.91284,234,215,185,187,8.28,8.41,13.68,3.48
P07639,38838.30699,210,226,215,173,7.59,10.97,8.55,7.5
P27828,42199.90669,51,33,21,16,4.08,3.35,16.29,14.61
P41407,21626.28299,732,443,276,155,16.77,3.48,9.75,7.2
P41409,33783.39389,328,228,162,146,1.6,1.6,9.28,3.39
P52108,26668.97888,118,120,93,106,9.76,13.57,2.57,10.71
P22564,32521.71177,292,382,328,283,16.26,4.82,10.78,8.41
P76594,97907.95641,49,71,98,125,9.38,13.87,1.17,6.85
P0ABV2,15498.88005,210,115,92,59,5.25,9.51,8.81,9.08
P0A9G8,28245.76234,81,77,73,71,12.72,4.3,7,10.96
P03004,52500.23299,98,74,58,59,14.56,5.32,15.12,9.77
P0AED7,41224.8347,80,69,51,39,11.57,11.5,12.34,12.32
P17115,33991.64548,70,58,46,42,4.79,4.59,8.85,0.88
P0ACZ8,25360.46757,541,449,349,336,20.01,2.98,9.23,1.52
P0ADR6,41860.12425,72,68,57,51,11.03,9.92,8.64,1.61
P40120,62699.58932,48,48,43,37,4.22,11.88,6.83,13.4
P05458,107622.6732,25,28,24,26,17.83,18.07,17.3,24.53
P16384,35025.15434,33,28,29,19,7.27,3.61,18,8.78
P0AG24,79274.2376,38,40,37,36,5.47,4.37,15.23,3.01
P46889,146553.5019,31,20,18,16,15.86,7.92,11.24,13.5
P76014,22599.29494,81,79,79,68,27.74,22.27,8.95,15.19
P0A951,21855.10936,104,77,63,57,14.76,10.16,17.43,6.83
P23883,53367.43457,391,570,229,43,20.86,15.38,16.11,11.05
P31064,44381.3142,342,301,181,144,13.16,21.1,32.63,23.95
P60340,35047.11747,76,57,58,45,6.05,8.68,22.48,7.04
P60293,50529.6168,54,50,46,42,8.95,1.23,12.83,9.54
P0A6L4,32554.82139,131,144,94,60,12.52,10.38,9.24,12.52
P24202,33481.23996,56,50,37,23,17.11,13.46,8.72,14.66
P0ACD8,66193.03,1,1,1,1,31.16,15.83,66.03,16.69
P0AA25,11781.10045,14939,12758,11467,10279,5.23,5.46,5.79,8.19
P37194,20932.71853,700,792,623,611,42.15,8.46,6.87,8.07
P0ADU5,13984.04637,1721,1849,2182,2335,15.35,7.85,14.73,4.72
P0AA04,9095.72664,20570,13546,9835,6327,11.93,9.32,2.26,7.5
P75818,18961.46217,1969,1960,1996,2133,8.96,5,2.43,1.03
P0A7U3,10405.70428,11619,7839,5153,4656,6.66,5.31,14.18,10.01
P68679,8476.71577,17301,12279,9013,7760,0.81,5.04,4.37,5.57
P63284,95507.92428,127,120,130,129,10.24,5.75,6.56,7.3
P0A955,22251.88875,2894,2391,1771,1251,4.08,1.77,2.35,3.45
P0A9L3,22184.50613,2728,2104,1557,1080,3,7.07,4.54,2.49
P0ADS6,26600.77371,954,816,600,700,14.75,19.81,14.92,8.34
P0ADA5,20918.82524,3884,3531,2444,1984,10.03,8.16,6.42,8.11
P0ABD8,16658.41639,1890,1472,1250,1096,4.92,4.94,4.53,8.75
P0AFR4,23178.95771,784,649,729,794,9.09,7.66,10.44,4.73
P0AGD3,21234.51493,4594,5703,4462,3389,11.19,3.22,0.59,3.09
P0AGD1,17651.97126,212,203,369,462,23.43,5.16,9.28,8.62
P0AF36,9610.79805,8404,6656,4934,4293,9.09,7.14,9.11,6.05
P0AFY8,20284.49411,907,772,697,655,13.01,3.77,6.27,8.1
P0C0L7,54792.07555,130,85,74,64,22.87,8.24,41.91,13.92
P76142,36643.90248,66,111,216,415,19.6,17.48,21.51,9.2
P77214,12225.27043,12582,11219,5782,4886,19.09,5.32,7.3,13.8
P21362,18567.66099,400,467,849,1053,24.76,11.97,9.82,8.99
P64596,19997.67198,688,575,499,453,6.31,2.28,9.56,6.25
P76402,11998.96227,355,418,486,629,10.87,4.81,2.67,4.31
P67095,20091.35787,697,520,475,439,5.25,4.1,6,4.63
P69829,17930.42797,907,909,799,656,2.27,6.6,16.26,16.86
P0A6P7,23528.17928,756,633,575,502,4.98,0.73,2.76,2.41
P0ABU0,31594.51617,519,470,405,429,3.59,5.7,0.56,5.37
P69428,9640.02352,1587,1336,1219,1164,2.62,9.4,4.33,12.68
P37647,33923.04409,460,351,272,205,9.65,13.3,5.6,17.93
P10346,26696.11147,1049,1169,951,847,7.49,5.67,5.87,9.43
P60546,23560.01565,270,203,160,136,9.6,1.65,12.76,2.23
P26612,56585.35938,111,109,96,86,22.28,11.64,12.94,8.38
P0A6S7,36320.64479,327,303,274,276,11.38,3.9,2.15,12.11
P0A8U6,12115.13483,641,609,566,552,13.19,6.54,2.72,13.47
P0AFJ7,53336.39574,184,143,123,107,7.94,20.58,8.71,23.03
P64429,31422.2905,125,109,111,105,2.1,13.07,5.28,32.62
P75876,44310.82805,168,122,101,95,13.94,17.98,18.93,27.75
P0AFI7,25511.16439,293,246,197,164,5.09,15.29,11.84,5.44
P27848,29670.75492,646,482,436,393,21,7.32,18.93,0.26
P0AG93,35341.59237,792,719,574,576,18.88,30.36,5.19,9.1
P12995,47286.45536,112,71,50,41,8.37,19.51,19.11,15.4
P0A962,37085.75937,368,351,298,246,17.83,17.53,16.68,17.48
P0ABU7,26252.84497,814,474,329,226,16.49,0.88,12.41,7.91
P31130,14094.21224,77,98,151,220,22.55,7.46,15.34,12.22
P75957,25404.21205,336,259,224,164,5.6,7.74,7.75,2.79
P0A738,17437.96509,177,139,104,99,7.66,8.61,5.66,1.92
Q46948,20745.93029,363,314,267,227,5.85,6.29,2.98,7.24
P0A9D4,29280.00172,477,411,350,351,4.12,6.56,4.66,11.59
P0ACA1,22512.80566,409,335,368,362,3.57,20.78,6.99,16.06
P37665,22165.52748,49,47,30,24,14.48,15.5,13.66,13.63
P77775,32660.18647,111,146,201,241,7.69,5.33,6.27,5.36
P0A8A8,16622.51589,403,309,281,224,10.13,5.44,7.08,12.29
P0A7D1,21051.07365,395,296,222,189,2.62,14.52,10.57,8.21
P42641,43240.69916,334,318,261,303,7.89,0.71,1.38,7.46
P23886,62862.68065,136,114,99,103,15.01,9.1,16.11,3.26
P0A8X0,21328.29513,129,116,108,115,6.28,7.86,5.25,7.36
P23827,18162.39088,219,466,400,293,45.19,3.37,8.02,11.35
P66948,53856.32464,104,120,151,144,9.33,5.01,14.89,2.42
P64530,10109.49097,259,262,257,241,20.87,1.29,4.37,6.73
P31806,54598.23236,85,108,118,186,12.71,6.75,18.47,8.86
P37760,32655.66505,537,448,315,234,0.53,0.43,4.42,7.84
P0AEX3,47003.44462,329,357,417,416,2.96,11.49,12.87,3.4
P39838,100291.5654,56,46,41,36,18.15,12.93,13.91,13.15
P0ADP9,10248.426,1684,1849,1768,1522,20.15,12.39,13.81,9.58
P25539,40294.80788,134,86,72,62,16.03,6.62,4.81,8.72
Q46868,11251.07678,1008,747,716,664,3.81,5.73,12.92,4.17
P77348,59844.8587,95,115,117,101,14.39,2.25,5.03,5.23
P24251,15626.98076,1412,1091,772,521,3.39,2.05,5.86,1.97
P37648,55474.62001,52,56,66,87,2.34,7.64,7.23,9.59
P60752,64401.5979,152,152,137,127,15.23,5.78,13.04,8.31
P46852,26244.93963,66,75,85,113,18.4,12.76,16.74,10.27
P0A9H1,18643.80808,190,172,123,101,7.04,5.71,19.72,21.25
P77581,43619.9979,93,238,281,251,22.87,6.71,13.14,8.77
P77552,42831.72841,77,66,44,28,10.49,4.12,14.26,11.66
P77213,41643.68948,55,61,73,69,23.36,6.41,9.06,17.99
P39396,77255.23221,8,6,7,6,12.16,19.16,34.04,8.76
P52061,21007.85524,387,292,256,204,7.16,9.49,9.95,8.42
P37595,33354.63774,67,58,44,50,12.91,13.05,12.63,4.13
P0A6J1,22289.51644,447,288,160,126,6.71,5.12,5.27,4.97
P0AG40,34694.52422,180,114,127,88,8.13,8.48,8.65,1.82
P0A9C9,35811.62041,89,70,59,56,10.34,3.7,13.69,6.57
P36879,34607.32501,275,211,181,186,21.73,18.75,11.93,12.45
P77434,46168.71805,100,107,84,80,9.78,10.25,6.7,8.98
P0AC13,30577.67761,182,116,76,54,4.35,1.28,5.17,3.9
P77148,60698.9436,79,85,109,93,15.03,4.54,22.23,15.35
P00803,35919.47649,135,114,99,102,3.96,11.09,7.84,9.39
P0AFD6,20506.12496,357,387,366,299,5.36,3.46,1.18,11.77
P33218,23654.40951,123,150,135,155,18.75,10.25,14.8,18.56
P07017,59888.55652,30,87,24,2,34.99,16.39,16.67,48.09
P37177,83644.74272,72,73,66,54,10.18,7.94,16.88,3.3
P29012,38801.9209,60,77,50,71,3.4,9.39,8.33,5.65
P77544,24292.47047,92,90,80,73,8.13,6.71,3.71,6.46
P75736,28401.48347,173,156,122,87,5.69,4.78,22.65,10.04
P29018,64997.28515,83,66,45,46,22.57,8.39,18.32,7.57
P67080,25753.32927,142,136,94,83,10.75,12.1,6.8,10.24
P75838,65592.12147,160,129,82,74,9.27,4.71,9.09,8.76
P0AFZ3,18233.05384,201,159,132,100,8.54,10.12,5.69,11.17
P37645,74393.2067,37,47,74,103,17.71,11.47,17.23,10.51
P03841,31905.64602,1070,1035,845,502,9.12,8.52,5.34,3.96
P0AFL6,58081.15167,71,50,44,44,14.06,7.99,7.6,3.03
P0A8W5,20654.80682,191,162,137,112,12.6,3.42,16.11,6.04
P0A8D0,17199.80889,178,132,117,99,4.7,2.45,11.43,10.8
P0A9N4,28167.96651,144,133,135,140,3.84,1.56,7.57,7.04
P0AFQ7,29772.09642,36,23,17,16,15.87,18.63,33.83,17.69
P08395,67159.17675,79,77,69,59,11.41,13.98,10.18,7.24
P0A873,28386.44362,70,52,57,38,3.93,15.63,25.22,4.94
P0A9F1,17611.22461,116,96,83,66,8.95,7.39,17.23,8.56
P02929,26059.99904,96,59,55,43,14.68,15.19,14.74,8.33
Q46920,32549.27527,56,37,36,28,11.28,14.34,8.52,8.34
P37690,46548.42826,55,49,49,55,16.84,11.67,1.38,8.43
P23909,95169.13824,42,30,24,22,21.95,12.97,21.9,5.27
P77713,60768.44307,27,25,33,25,6.32,10.09,6.28,8.42
P39285,123871.753,14,14,13,17,10.26,7.04,24.46,12.83
P0A720,23750.43554,117,70,72,62,15.29,9.17,7.9,15.62
P0AB43,11221.80465,81,64,47,38,14.81,11.14,31.06,2.68
P0A9J0,55311.45087,90,70,56,33,12.55,14.98,15.14,7.24
P77338,127117.3538,8,5,4,4,9.43,12.92,6.73,12.3
P75931,33642.19711,48,65,62,66,2.55,12.65,7.78,10.84
P64483,17821.38202,595,459,372,305,7.22,8.7,14.86,10.96
P77795,36999.06605,37,67,83,123,5.78,14.07,9.01,3.08
Q46939,40975.11436,40,52,35,23,12.34,15.79,13.3,25.58
P0CE60,37809.31919,53,46,33,28,7.2,3,27.84,12.33
P0AAN3,31526.76539,21,17,19,24,14.95,32.98,32.92,15.22
P37005,25225.08769,51,37,34,26,28.41,6.22,12.8,21.84
P39829,56348.07443,9,19,24,36,19.94,19.56,28.29,7.79
P39366,40570.68839,2,9,18,166,33.64,32.23,32.77,3.12
P0A959,45470.38651,79,112,103,85,6.54,6.91,13.01,9.67
P75682,33277.40786,136,155,112,62,2.17,12.09,26.62,10.68
P14175,44117.13409,3,2,2,2,34.81,56.74,22.23,19.93
P0ABQ2,30389.81841,29,36,29,46,23.06,12.7,37.24,11.24
P77258,39474.11065,61,40,26,18,8.24,5.12,2.97,17.15
P0A9H7,43862.65146,41,33,26,21,68.74,6.98,64.02,57.87
P08956,133993.5805,7,5,3,5,15.89,32.3,63.88,29.72
Q5H776,27977.37842,214,418,245,91,6.91,3.86,9.4,7.92
Q6BF17,42477.7743,5,8,15,10,25.67,15.93,22.37,40.43
P45425,29607.46552,17,16,13,19,9.51,29.58,24.17,20.51
P0AAJ5,33060.8989,2,4,3,5,37.06,34.44,114.48,60.69
P21829,30164.13345,185,83,35,14,6.15,6.93,12.43,4.09
P0ACF0,9511.17791,95458,86223,71746,65848,7.2,3.14,4.87,12.47
P0A7T3,9166.93958,38458,24935,20467,16641,5.12,5.51,14.81,2.8
P0ADY7,15253.44869,35190,20241,17245,15617,10.89,2.75,9.66,3.99
P0A7U7,9660.30985,19044,12092,9291,8042,6.75,4.67,4.14,5.98
P0ACY1,20028.12237,1828,1507,1398,1252,5.08,1.64,6.61,10.11
P0A7R9,13818.36297,8790,6070,4185,3674,5.94,6.94,5.77,5.14
P0AC62,9113.62373,6377,6220,5979,5877,12.81,6.66,8.42,5.45
P0AG48,11539.18454,7580,4443,3827,3534,4.16,13.24,4.79,3.08
P0AD49,12758.61652,2068,1731,1504,1296,7.96,8.46,9.14,10.92
P0C018,12743.92073,4045,2872,2218,2036,7.04,8.14,3.98,2.45
P0A7S3,13710.49079,7218,4277,3868,3250,12.53,8.59,1.12,5.56
P0AG18,17751.20248,1877,1496,1261,1163,5.38,4.9,7.42,0.74
P0A8A2,25833.16003,1096,784,573,376,5.94,2.12,8.7,6.76
P0AAB8,16264.49707,224,266,260,300,15.13,1.57,12.49,4.3
P0ACP5,36380.82496,427,363,347,400,12.95,20.62,25.2,12.07
P0ACE7,13214.88763,2127,1999,1817,1399,4.97,8.34,7.75,5.66
P0A927,33549.87653,1175,984,942,774,7.02,3.01,4.59,9.09
P0AC81,14892.51473,2016,1467,1388,917,17.25,11.12,6.19,7.57
P0ADK8,13669.27463,2549,2699,2088,1669,4.65,18.39,13.18,4.69
P76270,18092.23628,1352,1158,924,688,7.31,9.85,5.82,2.73
P0A744,23282.05418,400,425,514,442,13.99,4.73,14.07,5.34
P0AAR3,17064.22625,532,419,383,321,1.01,15.08,9.2,9.23
P62617,16868.82668,1458,1220,1086,991,14.1,3.16,8.2,9.3
P76193,36041.90682,275,253,220,288,8.86,8.03,10.94,3.52
P39199,34961.46662,867,807,735,610,8.77,3.37,7.19,8.4
P0A6X3,11141.57168,1301,972,744,696,8.04,5.2,8.25,7.06
P06989,22723.48932,717,582,568,401,12.25,3.88,10.7,5.84
P69411,14136.20807,654,605,532,477,8.86,6.27,4.12,12.13
P61316,22465.15845,434,327,281,242,8.21,16.26,3.6,7.24
P0AC69,12852.46558,4504,3171,2810,2277,1.46,2,4.52,4.45
P77625,22975.10218,969,820,771,599,7.58,5.69,8.45,6.44
P0A722,28044.39864,829,766,649,617,12.36,18.99,4.67,8.42
P25397,22498.4033,166,157,126,96,7.25,6.43,6.94,8.88
P12994,17056.26895,193,230,246,231,16.53,8.92,2.64,6
P0A9Z1,12399.5981,1388,1108,905,714,7.15,4.77,6.62,4.52
P0AB28,19284.5742,728,546,489,345,5.69,3.34,10.14,7.78
P0AC19,14055.38764,1127,855,695,526,7.27,1.31,5.91,11.37
P76145,28969.46744,160,324,360,351,39.96,3.47,1.7,3.72
P0A6K3,19298.2689,226,166,125,126,11.98,2.2,19.09,15.11
P0AGG8,51314.11743,199,149,145,144,6.6,11.14,11.38,6.05
P0A8T1,31838.89513,114,83,57,67,15.27,16.29,18.43,2.95
P16869,81164.0738,10,10,6,6,39.36,22.7,2.69,3.85
P37773,49824.11217,255,186,200,165,11.35,1.45,16.63,19.76
P30749,16952.51163,211,123,108,98,11.17,3.65,18.06,1.95
P0AEQ1,13710.13226,592,1214,1346,1091,15.04,15.03,0.9,4.17
P42599,36173.29961,279,306,350,436,3.18,7.74,12.57,5.77
P0AFB1,33581.82179,243,225,196,160,4.79,11.36,4.91,4.63
P76002,14878.71052,213,285,231,167,41.5,26.18,7.08,14.45
P13000,24106.3701,305,229,170,119,16.62,15.12,12.48,5.91
P0A832,18239.66906,381,278,252,225,13.3,3.75,3.78,3.51
P0AFM2,35981.90441,424,252,211,79,7.8,5.98,1.56,4.56
P76506,28005.73403,209,182,162,170,10.76,2.11,2.72,9.36
P45748,20736.68585,292,224,167,176,5.35,1.99,13.85,8.14
P0AEX5,32305.49054,291,245,285,266,1.37,4.46,5.23,4.83
P0AF67,16824.38456,700,592,621,526,4.79,14.58,7.41,2.44
P23917,32461.33074,200,234,247,291,8.18,5.95,5.04,5.27
P0A6U5,23398.35848,265,204,159,126,7.58,1.5,2.49,7.41
P75849,23750.94389,474,614,553,527,7.55,3.56,6.61,13.46
P69506,24848.55698,5,6,3,3,10.07,8.13,11.84,26.73
P0AGB6,21664.26101,225,168,164,154,9.34,5.87,9.97,9.22
P0ABQ4,17969.89353,194,178,155,170,7.86,3.57,3.66,6.43
P33362,32571.10535,100,131,159,162,17.72,9.4,3.75,7.73
P31455,46139.8176,62,57,53,49,13.13,21.72,15.45,9.59
P0A7F9,39388.02367,188,148,111,96,3.78,13.13,15.99,4.59
P04982,15264.79589,626,821,1139,1295,7.68,1.54,7.72,11.23
P21363,18931.47424,283,303,362,455,28.18,15.86,7.99,6.92
P0A8D6,18850.61192,110,103,105,105,5.72,12.58,1.98,14.62
P76346,30242.07969,877,1032,1006,787,14.84,7.17,15.56,1.14
P75777,36375.63323,85,77,76,77,22.13,16.01,14.37,2.7
P76235,49343.80506,31,47,76,134,27.65,13.38,8.22,6.58
P28861,27715.30712,104,107,93,76,8.75,11.16,3.09,9.78
P0A8Y3,22699.37437,294,379,471,359,29.71,9.61,11.25,5.94
P36680,28255.84769,184,166,158,164,8.6,6.24,7.25,6.62
P0AC47,27087.16048,159,247,237,232,31.86,21.66,18.18,6.12
P39830,59367.2376,174,139,115,106,14.48,10.1,17.35,20.16
P0A7A5,23225.31917,151,140,141,147,0.5,14.33,4.87,12.51
P62615,30887.82837,150,128,113,93,5.83,3.33,11.76,4.24
P76004,23678.10998,141,175,221,249,17.98,1.89,2.31,10.52
P32157,25308.67636,57,44,49,45,22.67,19.59,5.16,13.03
