Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P53397	OGG1_YEAST	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	OGG1 YML060W YM9958.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	42,781		OGG1	YM9958.02	YML060W	PF00730;PF07934;	SSF48150;	Type-1 OGG1 family	
P38122	PANB_YEAST	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Extracellular matrix protein 31) (Ketopantoate hydroxymethyltransferase)	ECM31 YBR176W YBR1238	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	34,465		ECM31	YBR1238	YBR176W	PF02548;	SSF51621;	PanB family	
P28272	PYRD_YEAST	Dihydroorotate dehydrogenase (fumarate) (DHOD) (DHODase) (DHOdehase) (EC 1.3.98.1) (Dihydroorotate oxidase)	URA1 YKL216W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	314	34,801		URA1		YKL216W	PF01180;		Dihydroorotate dehydrogenase family, Type 1 subfamily	
P33767	OSTB_YEAST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 (Oligosaccharyl transferase subunit WBP1) (Oligosaccharyl transferase subunit beta)	WBP1 YEL002C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	430	49,392		WBP1		YEL002C	PF03345;		DDOST 48 kDa subunit family	Electron microscopy (2); X-ray crystallography (1)
P40219	OSW5_YEAST	Outer spore wall protein 5	OSW5 YMR148W YM9375.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	16,384		OSW5	YM9375.18	YMR148W	PF17062;		OSW5 family	
P25644	PAT1_YEAST	DNA topoisomerase 2-associated protein PAT1 (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796	88,511	MRT1	PAT1	YCR77C	YCR077C	PF09770;		PAT1 family	X-ray crystallography (8)
P39108	PEX7_YEAST	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7) (Peroxisome import protein PAS7)	PEX7 PAS7 PEB1 YDR142C YD2943.01C YD9302.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	42,323	PAS7 PEB1	PEX7	YD2943.01C YD9302.18C	YDR142C	PF00400;	SSF50978;	WD repeat peroxin-7 family	X-ray crystallography (1)
P25360	PHO87_YEAST	Inorganic phosphate transporter PHO87	PHO87 YCR037C YCR37C YCR524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923	102,540		PHO87	YCR37C YCR524	YCR037C	PF03600;PF03105;		CitM (TC 2.A.11) transporter family	
Q04373	PUF6_YEAST	Pumilio homology domain family member 6	PUF6 YDR496C D9719.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	656	75,106		PUF6	D9719.2	YDR496C	PF08144;	SSF48371;	PUF6 family	
P40541	SCC3_YEAST	Cohesin subunit SCC3 (Irregular cell behavior protein 1)	IRR1 SCC3 YIL026C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1150	133,009	SCC3	IRR1		YIL026C	PF08514;	SSF48371;	SCC3 family	X-ray crystallography (2)
Q04003	SAS4_YEAST	Something about silencing protein 4	SAS4 YDR181C YD9395.15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	481	55,409		SAS4	YD9395.15C	YDR181C	PF15460;			
P03877	SCE3_YEAST	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	AI3 ENS3 I-SCEIII Q0060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	47,917	ENS3 I-SCEIII	AI3		Q0060	PF00115;PF00961;	SSF55608;SSF81442;	LAGLIDADG endonuclease family	
P53009	SCY1_YEAST	Protein kinase-like protein SCY1	SCY1 YGL083W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	804	91,001		SCY1		YGL083W	PF00069;	SSF48371;SSF56112;		
Q03529	SCS7_YEAST	Ceramide very long chain fatty acid hydroxylase SCS7 (Ceramide VLCFA hydroxylase SCS7) (4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase SCS7) (EC 1.14.18.6) (Dihydroceramide fatty acyl 2-hydroxylase SCS7) (EC 1.14.18.7) (Sphingolipid alpha-hydroxylase) (Suppressor of calcium sensitivity 7)	SCS7 FAH1 YMR272C YM8156.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	384	44,881	FAH1	SCS7	YM8156.14C	YMR272C	PF00173;PF04116;	SSF55856;	Sterol desaturase family, SCS7 subfamily	X-ray crystallography (2)
P38352	SAF1_YEAST	SCF-associated factor 1	SAF1 YBR280C YBR2017	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	637	70,495		SAF1	YBR2017	YBR280C		SSF50985;SSF81383;		
P20048	SEC59_YEAST	Dolichol kinase (EC 2.7.1.108)	SEC59 YMR013C YM8270.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	519	58,906		SEC59	YM8270.17C	YMR013C			Polyprenol kinase family	
P38693	PPAC_YEAST	Acid phosphatase PHO12 (EC 3.1.3.2)	PHO12 YHR215W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467	52,700		PHO12		YHR215W	PF00328;	SSF53254;	Histidine acid phosphatase family	
P52290	PPAD_YEAST	Probable acid phosphatase DIA3 (EC 3.1.3.2) (Digs into agar protein 3)	DIA3 YDL024C D2815	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	468	53,076		DIA3	D2815	YDL024C	PF00328;	SSF53254;	Histidine acid phosphatase family	
P10363	PRI1_YEAST	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)	PRI1 YIR008C YIB8C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409	47,690		PRI1	YIB8C	YIR008C	PF01896;		Eukaryotic-type primase small subunit family	X-ray crystallography (2)
Q12355	PST1_YEAST	Cell wall mannoprotein PST1 (Haze protective factor 2) (Protoplast secreted protein 1)	PST1 HPF2 YDR055W D4214 YD9609.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	45,777	HPF2	PST1	D4214 YD9609.09	YDR055W			SPS2 family	
P34222	PTH2_YEAST	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)	PTH2 YBL057C YBL0510 YBL0514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208	22,435		PTH2	YBL0510 YBL0514	YBL057C	PF01981;	SSF102462;	PTH2 family	
P38009	PUR92_YEAST	Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE17 YMR120C YM8564.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592	65,263		ADE17	YM8564.02C	YMR120C	PF01808;PF02142;	SSF52335;SSF53927;	PurH family	
P0CX54	RL12B_YEAST	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)	RPL12B RPL15A YDR418W D9461.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165	17,823	RPL15A	RPL12B	D9461.7	YDR418W	PF00298;PF03946;	SSF46906;SSF54747;	Universal ribosomal protein uL11 family	
P0C2H8	RL31A_YEAST	60S ribosomal protein L31-A (L34) (Large ribosomal subunit protein eL31-A) (YL28)	RPL31A RPL34 RPL34A YDL075W D2478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113	12,953	RPL34 RPL34A	RPL31A	D2478	YDL075W	PF01198;	SSF54575;	Eukaryotic ribosomal protein eL31 family	Electron microscopy (80); X-ray crystallography (38)
P0CX84	RL35A_YEAST	60S ribosomal protein L35-A (Large ribosomal subunit protein uL29-A)	RPL35A SOS1 YDL191W D1249	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	13,910	SOS1	RPL35A	D1249	YDL191W	PF00831;	SSF46561;	Universal ribosomal protein uL29 family	Electron microscopy (84); X-ray crystallography (38)
P0CX26	RL43B_YEAST	60S ribosomal protein L43-B (L37a) (Large ribosomal subunit protein eL43-B) (YL35)	RPL43B YJR094W-A YJR094BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	92	10,091		RPL43B	YJR094BW	YJR094W-A	PF01780;	SSF57829;	Eukaryotic ribosomal protein eL43 family	Electron microscopy (1)
Q04740	RNH1_YEAST	Ribonuclease H (RNase H) (EC 3.1.26.4)	RNH1 YMR234W YM9959.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	39,431		RNH1	YM9959.16	YMR234W	PF01693;PF00075;	SSF53098;SSF55658;	RNase H family	NMR spectroscopy (1)
P47076	RPC9_YEAST	DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (RNA polymerase III subunit C17)	RPC17 YJL011C J1349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161	18,596		RPC17	J1349	YJL011C	PF03874;	SSF47819;	Eukaryotic RPC9 RNA polymerase subunit family	Electron microscopy (16); X-ray crystallography (1)
Q05635	RNH2B_YEAST	Ribonuclease H2 subunit B (RNase H2 subunit B) (Rnh2B) (RNase H(202)) (Ribonuclease HI subunit B)	RNH202 YDR279W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	350	39,484		RNH202		YDR279W	PF09468;PF17745;		RNase H2 subunit B family	
P36533	RM39_YEAST	54S ribosomal protein L39, mitochondrial (Mitochondrial large ribosomal subunit protein bL33m) (YmL39)	MRPL39 YML009C YM9571.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	70	7,973		MRPL39	YM9571.09C	YML009C		SSF57829;	Bacterial ribosomal protein bL33 family	Electron microscopy (4)
P39543	SOP4_YEAST	Protein SOP4 (Suppressor of PMA1-7 protein 4)	SOP4 YJL192C J0351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	26,598		SOP4	J0351	YJL192C	PF17081;		SOP4 family	Electron microscopy (3)
Q12189	RPIA_YEAST	Ribose-5-phosphate isomerase (EC 5.3.1.6) (D-ribose-5-phosphate ketol-isomerase) (Phosphoriboisomerase)	RKI1 YOR095C YOR3174C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258	28,258		RKI1	YOR3174C	YOR095C	PF06026;	SSF100950;	Ribose 5-phosphate isomerase family	X-ray crystallography (1)
P53201	SWC4_YEAST	SWR1-complex protein 4 (ESA1-associated factor 2)	SWC4 EAF2 GOD1 YGR002C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476	55,213	EAF2 GOD1	SWC4		YGR002C	PF16282;	SSF46689;	SWC4 family	
P32591	SWI3_YEAST	SWI/SNF complex subunit SWI3 (Transcription factor TYE2) (Transcription regulatory protein SWI3)	SWI3 TYE2 YJL176C J0495	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	825	92,926	TYE2	SWI3	J0495	YJL176C	PF00249;PF04433;PF16495;	SSF46689;		Electron microscopy (3); X-ray crystallography (2)
P25302	SWI4_YEAST	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	SWI4 ART1 YER111C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1093	123,806	ART1	SWI4		YER111C	PF04383;	SSF48403;SSF54616;		
P08153	SWI5_YEAST	Transcriptional factor SWI5	SWI5 YDR146C YD8358.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709	79,775		SWI5	YD8358.03C	YDR146C	PF00096;	SSF57667;		NMR spectroscopy (2)
P09959	SWI6_YEAST	Regulatory protein SWI6 (Cell-cycle box factor subunit SWI6) (MBF subunit P90) (Trans-acting activator of HO endonuclease gene)	SWI6 YLR182W L9470.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	803	90,560		SWI6	L9470.8	YLR182W	PF13606;PF18530;	SSF48403;		X-ray crystallography (3)
Q12379	SWM1_YEAST	Anaphase-promoting complex subunit SWM1 (Anaphase-promoting complex subunit 13) (Spore wall maturation protein 1)	SWM1 APC13 YDR260C YD9320A.11 YD9320A.11c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	19,356	APC13	SWM1	YD9320A.11 YD9320A.11c	YDR260C	PF05839;		APC13 family	
P40342	SWM2_YEAST	Nucleolar protein SWM2 (Synthetic With MUD2-delta protein 2)	SWM2 YNR004W N2033	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	17,097		SWM2	N2033	YNR004W	PF17083;		SWM2 family	
P40825	SYA_YEAST	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	ALA1 CDC64 YOR335C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	983	110,059	CDC64	ALA1		YOR335C	PF02272;PF01411;PF07973;	SSF101353;SSF50447;SSF55186;SSF55681;	Class-II aminoacyl-tRNA synthetase family	
P32903	PMP1_YEAST	Plasma membrane ATPase proteolipid 1	PMP1 YCR024C-A YCR24C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	40	4,501		PMP1	YCR24C-A	YCR024C-A	PF08114;			
P36002	PTK1_YEAST	Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)	PTK1 POT1 STK1 YKL198C YKL199C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	662	73,502	POT1 STK1	PTK1	YKL199C	YKL198C	PF00069;	SSF56112;	Protein kinase superfamily, Ser/Thr protein kinase family	
P25043	PSB2_YEAST	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1)	PUP1 YOR157C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	28,268		PUP1		YOR157C	PF12465;PF00227;	SSF56235;	Peptidase T1B family	Electron microscopy (27); X-ray crystallography (275)
P0CX46	RL2B_YEAST	60S ribosomal protein L2-B (L5) (Large ribosomal subunit protein uL2-B) (RP8) (YL6)	RPL2B RPL5A YIL018W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	27,408	RPL5A	RPL2B		YIL018W	PF00181;PF03947;	SSF50104;SSF50249;	Universal ribosomal protein uL2 family	Electron microscopy (3)
Q04599	RM01_YEAST	54S ribosomal protein L1, mitochondrial (Mitochondrial large ribosomal subunit protein uL1m)	MRPL1 YDR116C YD9727.11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	30,996		MRPL1	YD9727.11C	YDR116C	PF00687;	SSF56808;	Universal ribosomal protein uL1 family	
P36519	RM07_YEAST	54S ribosomal protein L7, mitochondrial (Mitochondrial large ribosomal subunit protein uL5m) (YmL5) (YmL7)	MRPL7 YDR237W YD8419.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	33,099		MRPL7	YD8419.04	YDR237W	PF00281;PF00673;	SSF55282;	Universal ribosomal protein uL5 family	Electron microscopy (4)
Q02685	RMI1_YEAST	RecQ-mediated genome instability protein 1	RMI1 NCE4 YPL024W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	241	26,860	NCE4	RMI1		YPL024W	PF08585;		RMI1 family	
P20436	RPAB3_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)	RPB8 YOR224C YOR50-14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146	16,511		RPB8	YOR50-14	YOR224C	PF03870;	SSF50249;	Eukaryotic RPB8 RNA polymerase subunit family	Electron microscopy (72); NMR spectroscopy (1); X-ray crystallography (131)
P32904	RM06_YEAST	54S ribosomal protein L6, mitochondrial (Mitochondrial large ribosomal subunit protein uL6m) (YmL16)	MRPL6 YHR147C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214	23,889		MRPL6		YHR147C	PF00347;	SSF56053;	Universal ribosomal protein uL6 family	Electron microscopy (4)
P40993	RMRP_YEAST	Ribonuclease MRP protein subunit SNM1 (RNA-processing protein SNM1) (RNase MRP 22.5 kDa subunit)	SNM1 YDR478W D8035.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198	22,541		SNM1	D8035.21	YDR478W	PF04032;			Electron microscopy (3)
P36516	RM03_YEAST	54S ribosomal protein L3, mitochondrial (Mitochondrial large ribosomal subunit protein mL44) (YmL3)	MRPL3 YMR024W YM9711.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	390	44,000		MRPL3	YM9711.14	YMR024W	PF00035;	SSF69065;	Ribonuclease III family, Mitochondrion-specific ribosomal protein mL44 subfamily	Electron microscopy (4)
P32387	RM41_YEAST	54S ribosomal protein L41, mitochondrial (Mitochondrial large ribosomal subunit protein uL23m) (YmL41)	MRP20 MRPL41 YDR405W D9509.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	263	30,566	MRPL41	MRP20	D9509.23	YDR405W	PF00276;	SSF54189;	Universal ribosomal protein uL23 family	Electron microscopy (4)
P34226	SKT5_YEAST	Chitin synthase regulator SKT5	SKT5 CAL2 CHS4 CSD4 YBL061C YBL0506 YBL0519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	696	77,066	CAL2 CHS4 CSD4	SKT5	YBL0506 YBL0519	YBL061C	PF08238;		SKT5 family	
P50263	SIP18_YEAST	Protein SIP18	SIP18 YMR175W YM8010.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	79	8,874		SIP18	YM8010.05	YMR175W				
P32578	SIP1_YEAST	SNF1 protein kinase subunit beta-1 (SNF1-interacting protein 1)	SIP1 YDR422C D9461.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	815	91,071		SIP1	D9461.11	YDR422C	PF16561;PF04739;	SSF160219;SSF81296;	5'-AMP-activated protein kinase beta subunit family	
Q12469	SKM1_YEAST	Serine/threonine-protein kinase SKM1 (EC 2.7.11.1) (Protein kinase 75490 D)	SKM1 YOL113W HRA655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	655	75,331		SKM1	HRA655	YOL113W	PF00786;PF00169;PF00069;	SSF56112;	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	
P33336	SKN1_YEAST	Beta-glucan synthesis-associated protein SKN1	SKN1 YGR143W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	771	86,241		SKN1		YGR143W	PF03935;	SSF49899;	SKN1/KRE6 family	
P34164	SIP2_YEAST	SNF1 protein kinase subunit beta-2 (Protein SPM2) (SNF1-interacting protein 2)	SIP2 SPM2 YGL208W G1155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	46,405	SPM2	SIP2	G1155	YGL208W	PF16561;PF04739;	SSF160219;SSF81296;	5'-AMP-activated protein kinase beta subunit family	X-ray crystallography (4)
P38889	SKN7_YEAST	Transcription factor SKN7 (Peroxide sensitivity protein 9)	SKN7 BRY1 POS9 YHR206W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	622	69,202	BRY1 POS9	SKN7		YHR206W	PF00447;PF00072;	SSF46785;SSF52172;	SKN7 family	
Q02100	SKO1_YEAST	CRE-binding bZIP protein SKO1	SKO1 ACR1 YNL167C N1702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	647	70,192	ACR1	SKO1	N1702	YNL167C	PF11785;PF00170;		BZIP family	
P39986	SPF1_YEAST	Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Complexed with DOR1 protein 1) (Endoplasmic reticulum P5A-ATPase) (Sensitivity to the P.farinosa killer toxin protein 1)	SPF1 COD1 YEL031W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1215	135,269	COD1	SPF1		YEL031W		SSF56784;SSF81653;SSF81660;SSF81665;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily	Electron microscopy (5)
P12954	SRS2_YEAST	ATP-dependent DNA helicase SRS2 (EC 3.6.4.12)	SRS2 HPR5 RADH YJL092W J0913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1174	134,306	HPR5 RADH	SRS2	J0913	YJL092W	PF00580;PF13361;	SSF52540;	Helicase family, UvrD subfamily	X-ray crystallography (1)
P50088	SPG1_YEAST	Stationary phase gene 1 protein	SPG1 YGR236C G8578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	95	10,545		SPG1	G8578	YGR236C				
P23179	SPO11_YEAST	Meiosis-specific protein SPO11 (EC 5.6.2.2) (Sporulation-specific protein 11)	SPO11 YHL022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	398	45,413		SPO11		YHL022C	PF04406;	SSF56726;	TOP6A family	
P17123	SPO12_YEAST	Sporulation-specific protein 12	SPO12 YHR152W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	173	19,912		SPO12		YHR152W	PF05032;			
P23624	SPO13_YEAST	Meiosis-specific protein SPO13 (Sporulation-specific protein 13)	SPO13 YHR014W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291	33,295		SPO13		YHR014W				
Q04398	SPG3_YEAST	Stationary phase protein 3	SPG3 YDR504C D9719.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	15,580		SPG3	D9719.10	YDR504C				
Q12455	SPSY_YEAST	Spermine synthase SPE4 (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)	SPE4 YLR146C L9634.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	300	34,091		SPE4	L9634.5	YLR146C	PF17284;	SSF53335;	Spermidine/spermine synthase family	
P36126	SPO14_YEAST	Phospholipase D1 (PLD 1) (EC 3.1.4.4) (Choline phosphatase 1) (Meiosis-specific sporulation-specific protein 14) (Phosphatidylcholine-hydrolyzing phospholipase D1)	SPO14 PLD1 YKR031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1683	195,204	PLD1	SPO14		YKR031C	PF00614;	SSF64268;	Phospholipase D family	
P41930	SSU1_YEAST	Sulfite efflux pump SSU1 (Sulfite sensitivity protein SSU1)	SSU1 YPL092W LPG16W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	52,545		SSU1	LPG16W	YPL092W	PF03595;		Tellurite-resistance/dicarboxylate transporter (TDT) family	
P35208	SPT10_YEAST	Protein SPT10	SPT10 CRE1 SUD1 YJL127C J0702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	640	72,922	CRE1 SUD1	SPT10	J0702	YJL127C	PF00583;PF09337;	SSF55729;		
Q04438	SPG4_YEAST	Stationary phase protein 4	SPG4 YMR107W YM9718.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	13,180		SPG4	YM9718.06	YMR107W	PF17325;		SPG4 family	
P42933	SPG5_YEAST	Stationary phase protein 5	SPG5 YMR191W YM9646.03	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	373	42,163		SPG5	YM9646.03	YMR191W				
P17122	SPO16_YEAST	Sporulation-specific protein 16	SPO16 YHR153C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198	23,131		SPO16		YHR153C	PF19225;			X-ray crystallography (2)
Q03029	SPO19_YEAST	Sporulation-specific protein 19	SPO19 YPL130W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223	24,989		SPO19		YPL130W				
P53541	SPO1_YEAST	Putative meiotic phospholipase SPO1 (EC 3.1.1.-) (Sporulation-specific protein 1)	SPO1 YNL012W N2858	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	631	72,187		SPO1	N2858	YNL012W	PF01735;	SSF52151;	Lysophospholipase family	
Q04359	SPO20_YEAST	Sporulation-specific protein 20	SPO20 YMR017W YM9711.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397	46,621		SPO20	YM9711.05	YMR017W			SNAP-25 family	
P40511	SPO22_YEAST	Sporulation-specific protein 22	SPO22 YIL073C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	975	112,434		SPO22		YIL073C	PF08631;		SPO22 family	
P07281	RS19B_YEAST	40S ribosomal protein S19-B (RP55B) (S16a) (Small ribosomal subunit protein eS19-B) (YS16B)	RPS19B RP55B RPS16AB YNL302C N0422	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	144	15,891	RP55B RPS16AB	RPS19B	N0422	YNL302C	PF01090;	SSF46785;	Eukaryotic ribosomal protein eS19 family	
P38904	SPP41_YEAST	Protein SPP41	SPP41 YDR464W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1435	161,597		SPP41		YDR464W	PF11223;			
P06843	SPT2_YEAST	Protein SPT2 (Negative regulator of Ty transcription)	SPT2 SIN1 SPM2 YER161C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333	38,551	SIN1 SPM2	SPT2		YER161C	PF08243;		SPT2 family	
P06844	SPT3_YEAST	Protein SPT3 (Positive regulator of Ty transcription)	SPT3 YDR392W D9509.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	38,800		SPT3	D9509.12	YDR392W	PF02269;	SSF47113;	SPT3 family	Electron microscopy (2)
P25380	SPS22_YEAST	Sporulation-specific protein 22	SPS22 YCL048W YCL48W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463	52,008		SPS22	YCL48W	YCL048W			SPS2 family	
P43607	RRT5_YEAST	Regulator of rDNA transcription protein 5	RRT5 YFR032C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289	31,865		RRT5		YFR032C	PF00076;	SSF54928;	RRT5 family	
