Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
O13946	TMEDA_SCHPO	Endoplasmic reticulum vesicle protein 25	erv25 SPAC23H4.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	216	"24,485"		erv25	SPAC23H4.03c	
O13956	TSR1_SCHPO	Ribosome biogenesis protein tsr1	tsr1 SPAC23H4.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	783	"90,126"		tsr1	SPAC23H4.15	
O14299	WIS4_SCHPO	MAP kinase kinase kinase wis4 (EC 2.7.11.25) (MAP kinase kinase kinase wak1) (MAP kinase kinase kinase wik1)	wis4 wak1 wik1 SPAC9G1.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1401	"160,538"	wak1 wik1	wis4	SPAC9G1.02	
Q09838	PRZ1_SCHPO	Transcriptional regulator prz1 (Pbp1-responsive zinc finger protein 1)	prz1 SPAC4G8.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	681	"74,190"		prz1	SPAC4G8.13c	
Q10447	PPK2_SCHPO	Protein kinase domain-containing protein ppk2	ppk2 SPAC12B10.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	665	"74,526"		ppk2	SPAC12B10.14c	
O94295	PUS2_SCHPO	tRNA pseudouridine synthase 2 (EC 5.4.99.-) (tRNA pseudouridylate synthase 2) (tRNA-uridine isomerase 2)	pus2 SPBC887.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	451	"52,272"		pus2	SPBC887.11	
O94331	PYRE_SCHPO	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	ura5 SPBC725.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	215	"23,716"		ura5	SPBC725.15	
O60107	SNX41_SCHPO	Sorting nexin-41 (Meiotically up-regulated gene 186 protein)	snx41 mug186 SPBC14F5.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	586	"67,002"	mug186	snx41	SPBC14F5.11c	
Q9UUI2	SHF1_SCHPO	Small histone ubiquitination factor 1	shf1 SPAC22F8.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	165	"18,923"		shf1	SPAC22F8.12c	
Q9USN8	RQC2_SCHPO	Ribosome quality control complex subunit 2 (Microtubule regulator protein 1)	mtr1 SPCC132.01c SPCC1322.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1021	"114,240"		mtr1	SPCC132.01c SPCC1322.17c	
P40389	RRG1_SCHPO	Protein-lysine N-methyltransferase rrg1 (EC 2.1.1.-) (Elongation factor methyltransferase 2) (Rapid response to glucose protein 1)	rrg1 uvi22 SPCC338.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	303	"34,534"	uvi22	rrg1	SPCC338.11c	
Q9Y7M6	RRP1_SCHPO	Ribosomal RNA-processing protein 1 homolog	SPBC9B6.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	217	"25,748"			SPBC9B6.07	
P0CT65	RS16B_SCHPO	40S ribosomal protein S16-B	rps1602 rps16b SPAC664.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	140	"15,395"	rps16b	rps1602	SPAC664.04c	
Q10205	RRP43_SCHPO	Exosome complex component rrp43 (Ribosomal RNA-processing protein 43)	rrp43 SPBC17D1.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	270	"30,029"		rrp43	SPBC17D1.03c	
Q9UST6	SPC24_SCHPO	Kinetochore protein spc24	spc24 SPBC336.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	198	"23,039"		spc24	SPBC336.08	
P0CT59	RS22B_SCHPO	40S ribosomal protein S22-B	rps2202 rps22b SPAC5D6.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	130	"14,760"	rps22b	rps2202	SPAC5D6.01	
O14000	SYMM_SCHPO	"Probable methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS)"	SPAC27E2.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	539	"61,946"			SPAC27E2.06c	
O00102	UBC7_SCHPO	Ubiquitin-conjugating enzyme E2-18 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 7) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	ubc7 ubcp3 SPBP16F5.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	166	"18,720"	ubcp3	ubc7	SPBP16F5.04	
Q09871	YAG7_SCHPO	Uncharacterized protein C12G12.07c	SPAC12G12.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	412	"45,724"			SPAC12G12.07c	
O42927	YBD3_SCHPO	Uncharacterized protein C16C6.03c	SPBC16C6.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	207	"23,469"			SPBC16C6.03c	
Q09707	YA39_SCHPO	Putative acetyltransferase C18B11.09c (EC 2.3.1.-)	SPAC18B11.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	207	"22,850"			SPAC18B11.09c	
O43062	YGT9_SCHPO	Uncharacterized protein C4C3.09	SPBC4C3.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	376	"44,095"			SPBC4C3.09	
Q9UT50	YFR3_SCHPO	Uncharacterized protein C821.03c	SPAC821.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	485	"53,991"			SPAC821.03c	
Q9P7W7	YGQ3_SCHPO	Uncharacterized ARM-like repeat-containing protein C1703.03c	SPBC1703.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	664	"74,811"			SPBC1703.03c	
O94370	YG04_SCHPO	Uncharacterized mitochondrial carrier C1604.04	SPBC1604.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	283	"31,025"			SPBC1604.04	
P87138	YDM7_SCHPO	Uncharacterized protein C57A7.07c	SPAC57A7.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	308	"34,542"			SPAC57A7.07c	
Q10314	YD62_SCHPO	Uncharacterized protein C17G8.02	SPAC17G8.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	330	"36,063"			SPAC17G8.02	
O74371	YG87_SCHPO	Uncharacterized RING finger protein C32F12.07c	SPBC32F12.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	340	"38,954"			SPBC32F12.07c	
Q10273	YD39_SCHPO	Uncharacterized protein C13G7.09c	SPAC13G7.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	135	"16,039"			SPAC13G7.09c	
O94378	YG0C_SCHPO	Uncharacterized protein C1604.12	SPBC1604.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	860	"93,286"			SPBC1604.12	
Q9P7E9	YDZF_SCHPO	Putative dipeptidyl aminopeptidase C14C4.15c (EC 3.4.14.-)	SPAC14C4.15c SPAPJ760.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	853	"98,342"			SPAC14C4.15c SPAPJ760.01c	
O13905	YF3E_SCHPO	BSD domain-containing protein C22A12.14c	SPAC22A12.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	347	"39,397"			SPAC22A12.14c	
O14345	PFA3_SCHPO	Palmitoyltransferase pfa3 (EC 2.3.1.225) (Protein fatty acyltransferase 3)	pfa3 SPBC2F12.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	329	"38,091"		pfa3	SPBC2F12.15c	
Q8TFH8	PEX12_SCHPO	Peroxisome assembly protein 12 (Peroxin-12)	pex12 SPAPB17E12.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	343	"39,960"		pex12	SPAPB17E12.03	
Q9P7Q2	PFL9_SCHPO	Putative cell agglutination protein pfl9 (Adhesin pfl9) (Pombe flocculin 9)	pfl9 SPAC186.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	326	"35,266"		pfl9	SPAC186.01	
O13898	PMT1_SCHPO	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 (EC 2.4.1.109)	ogm1 oma1 SPAC22A12.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	893	"101,335"	oma1	ogm1	SPAC22A12.07c	
Q9UTB5	PSD2_SCHPO	"Phosphatidylserine decarboxylase proenzyme 2, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]"	psd2 SPAC25B8.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	516	"58,464"		psd2	SPAC25B8.03	
O74729	PPIH_SCHPO	Peptidyl-prolyl cis-trans isomerase cyp3 (PPIase cyp3) (EC 5.2.1.8) (Rotamase cyp3)	cyp3 SPBC1709.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	173	"18,906"		cyp3	SPBC1709.04c	
Q9Y7M1	PXP1_SCHPO	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-)	SPBC725.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	568	"61,937"			SPBC725.04	
O74895	RL15A_SCHPO	60S ribosomal protein L15-A	rpl15 rpl1501 rpl15a SPCC576.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	201	"23,806"	rpl1501 rpl15a	rpl15	SPCC576.11	
P36602	RIR1_SCHPO	Ribonucleoside-diphosphate reductase large chain (EC 1.17.4.1) (Ribonucleotide reductase)	cdc22 SPAC1F7.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	811	"91,999"		cdc22	SPAC1F7.05	
O74836	RL1B_SCHPO	60S ribosomal protein L1-B (L10a)	rpl101 rpl10a-1 rpl1b SPCC1183.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	216	"23,917"	rpl10a-1 rpl1b	rpl101	SPCC1183.08c	
O13672	RL8_SCHPO	60S ribosomal protein L8 (L4) (L7A)	rpl8 SPBC29A3.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	259	"28,607"		rpl8	SPBC29A3.04	
Q10155	RNZ1_SCHPO	Ribonuclease Z 1 (RNase Z 1) (EC 3.1.26.11) (tRNA 3 endonuclease 1) (tRNase Z 1)	trz1 SPAC1D4.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	809	"90,603"		trz1	SPAC1D4.10	
Q92399	RPAB3_SCHPO	"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide) (RPC14)"	rpb8 SPBC14C8.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	125	"14,300"		rpb8	SPBC14C8.12	
Q10160	RMI1_SCHPO	RecQ-mediated genome instability protein 1	rmi1 SPAC26A3.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	235	"26,632"		rmi1	SPAC26A3.03c	
Q9UTK2	RM19_SCHPO	"54S ribosomal protein L19, mitochondrial"	mrpl19 SPAC1486.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	144	"15,435"		mrpl19	SPAC1486.07c	
Q9Y822	RM16_SCHPO	"54S ribosomal protein L16, mitochondrial"	mrpl16 SPBC1105.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	215	"24,388"		mrpl16	SPBC1105.03c	
O94723	RM20_SCHPO	"54S ribosomal protein L20, mitochondrial"	mrpl20 SPCC1393.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	197	"22,698"		mrpl20	SPCC1393.11	
Q1MTR8	SVP26_SCHPO	Protein svp26	svp26 SPCC1795.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	227	"25,801"		svp26	SPCC1795.10c	
Q9HDW3	TFB5_SCHPO	General transcription and DNA repair factor IIH subunit tfb5 (TFIIH subunit tfb5) (RNA polymerase II transcription factor B subunit 5)	tfb5 SPBC32F12.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	68	"7,951"		tfb5	SPBC32F12.15	
O60132	TEA4_SCHPO	Tip elongation aberrant protein Tea4 (Cell polarity protein tea4) (Win1-interacting SH3 domain protein)	tea4 wsh3 SPBC1706.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	821	"90,794"	wsh3	tea4	SPBC1706.01	
P87061	TEA1_SCHPO	Tip elongation aberrant protein 1 (Altered polarity protein 8) (Cell polarity protein tea1)	tea1 alp8 SPCC1223.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1147	"127,436"	alp8	tea1	SPCC1223.06	
P87156	TSR4_SCHPO	Probable 20S rRNA accumulation protein 4	SPBC25H2.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	396	"44,276"			SPBC25H2.15	
Q9USZ5	TRS20_SCHPO	Transport protein particle 20 kDa subunit (TRAPP 20 kDa subunit)	trs20 SPBC11G11.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	136	"16,040"		trs20	SPBC11G11.04	
O13658	YBCB_SCHPO	Uncharacterized transcriptional regulatory protein C27B12.11c	pi067 SPBC27B12.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	738	"81,929"			pi067 SPBC27B12.11c	
Q09674	YA01_SCHPO	Putative hydro-lyase C5H10.01 (EC 4.2.1.-)	SPAC5H10.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	301	"33,756"			SPAC5H10.01	
O94395	KU70_SCHPO	ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70)	pku70 ku70 SPCC126.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	607	"69,100"	ku70	pku70	SPCC126.02c	
P31317	OTC_SCHPO	"Ornithine carbamoyltransferase, mitochondrial (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)"	arg3 SPAC4G9.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	327	"36,119"		arg3	SPAC4G9.10	
Q09671	OYEB_SCHPO	Putative NADPH dehydrogenase C5H10.10 (EC 1.6.99.1) (Old yellow enzyme homolog 2)	SPAC5H10.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	392	"44,983"			SPAC5H10.10	
Q9HFF5	PDS5_SCHPO	Sister chromatid cohesion protein pds5 (Precocious dissociation of sisters protein 5)	pds5 SPAC110.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1205	"138,875"		pds5	SPAC110.02	
O74941	PEX1_SCHPO	Peroxisomal ATPase pex1 (Peroxin-1) (Peroxisome biogenesis protein pex1)	pex1 SPCC553.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	937	"105,905"		pex1	SPCC553.03	
Q10328	PHX1_SCHPO	Homeobox transcription factor phx1	phx1 SPAC32A11.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	942	"103,986"		phx1	SPAC32A11.03c	
Q9HGN8	SVF2_SCHPO	Survival factor 2	svf2 SPBC36B7.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	353	"40,334"		svf2	SPBC36B7.02	
P32825	SXA2_SCHPO	Carboxypeptidase sxa2 (EC 3.4.16.-)	sxa2 SPAC1296.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	507	"56,615"		sxa2	SPAC1296.03c	
O42858	SWD1_SCHPO	Set1 complex component swd1 (Set1C component swd1) (COMPASS component swd1) (Complex proteins associated with set1 protein swd1)	swd1 SPAC23H3.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	398	"45,184"		swd1	SPAC23H3.05c	
Q06182	SWI10_SCHPO	Mating-type switching protein swi10	swi10 SPBC4F6.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	252	"28,638"		swi10	SPBC4F6.15c	
O13282	TAF5_SCHPO	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 72 kDa subunit) (TAFII-72)	taf5 taf72 SPCC5E4.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	643	"72,380"	taf72	taf5	SPCC5E4.03c	
O14160	SYVM_SCHPO	"Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)"	vas1 SPAC4A8.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	950	"109,627"		vas1	SPAC4A8.08c	
P08096	TOP2_SCHPO	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)	top2 SPBC1A4.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1485	"167,892"		top2	SPBC1A4.03c	
Q09783	TIM8_SCHPO	Mitochondrial import inner membrane translocase subunit tim8	tim8 SPAC13G6.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	98	"11,355"		tim8	SPAC13G6.04	
Q9Y7T3	THG1_SCHPO	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	thg1 SPCC63.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	261	"31,063"		thg1	SPCC63.07	
Q10224	TRM9_SCHPO	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase (EC 2.1.1.229) (tRNA (uracil-5-)-methyltransferase trm9) (tRNA [Um34] methyltransferase) (tRNA methylase 9)	trm9 SPAC13D6.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	228	"26,277"		trm9	SPAC13D6.03c	
Q09928	PPIL2_SCHPO	Peptidyl-prolyl cis-trans isomerase cyp8 (PPIase cyp8) (EC 2.3.2.27) (EC 5.2.1.8) (RING-type E3 ubiquitin transferase cyp8) (Rotamase cyp8)	cyp8 SPAC21E11.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	516	"58,626"		cyp8	SPAC21E11.05c	
Q09841	PSB2_SCHPO	Probable proteasome subunit beta type-2 (EC 3.4.25.1)	pup1 SPAC23D3.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	267	"29,337"		pup1	SPAC23D3.07	
P25457	RL7B_SCHPO	60S ribosomal protein L7-B	rpl702 rpl7b SPAC3H5.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	250	"28,449"	rpl7b	rpl702	SPAC3H5.07	
Q8NIQ1	RNK_SCHPO	V-type proton ATPase subunit f (V-ATPase subunit f)	SPAC2F3.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	85	"9,092"			SPAC2F3.18c	
O43036	RPA43_SCHPO	DNA-directed RNA polymerase I subunit rpa43 (RNA polymerase I subunit A43) (DNA-dependent RNA polymerase 19 kDa polypeptide)	rpa43 rpa21 SPBC3B9.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	173	"19,385"	rpa21	rpa43	SPBC3B9.07c	
O13637	SEC31_SCHPO	Protein transport protein sec31	sec31 SPBC8D2.20c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1224	"132,499"		sec31	SPBC8D2.20c	
Q9Y7U8	RM37_SCHPO	"54S ribosomal protein L37, mitochondrial"	mrpl37 SPCC645.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	139	"15,184"		mrpl37	SPCC645.09	
O74440	RPN8_SCHPO	26S proteasome regulatory subunit rpn8	rpn8 SPCC1682.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	324	"35,595"		rpn8	SPCC1682.10	
O59678	RRS1_SCHPO	Ribosome biogenesis regulatory protein homolog	SPBC29A3.16	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	166	"19,044"			SPBC29A3.16	
O74395	STR1_SCHPO	Siderophore iron transporter 1	str1 SPBC4F6.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	612	"68,156"		str1	SPBC4F6.09	
O13784	RS24A_SCHPO	40S ribosomal protein S24-A	rps2401 rps24a SPAC17G6.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	134	"15,470"	rps24a	rps2401	SPAC17G6.06	
O60076	TAF13_SCHPO	Transcription initiation factor TFIID subunit 13 (TBP-associated factor 13)	taf13 SPCC1494.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	111	"12,956"		taf13	SPCC1494.02c	
O14018	SYSC_SCHPO	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	SPAC29A4.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	450	"51,643"			SPAC29A4.15	
P36598	THI1_SCHPO	Thiamine repressible genes regulatory protein thi1 (Transcription factor ntf1)	thi1 ntf1 SPAC1486.10 SPAC6G10.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	775	"88,060"	ntf1	thi1	SPAC1486.10 SPAC6G10.01	
P47946	TRK1_SCHPO	Potassium transport protein 1	trk1 trk SPAC3F10.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	841	"96,045"	trk	trk1	SPAC3F10.02c	
Q9P6I1	UBC16_SCHPO	Ubiquitin-conjugating enzyme E2 16 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 16) (Ubiquitin carrier protein 16) (Ubiquitin-protein ligase 16)	ubc16 SPBC1198.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	160	"17,842"		ubc16	SPBC1198.09	
Q09154	UCRI_SCHPO	"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Rieske iron-sulfur protein) (RISP) (Ubiquinol-cytochrome c reductase iron-sulfur subunit)"	rip1 SPBC16H5.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	228	"24,740"		rip1	SPBC16H5.06	
Q09710	YA33_SCHPO	Uncharacterized protein C18B11.03c	SPAC18B11.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	447	"50,516"			SPAC18B11.03c	
P87304	YB22_SCHPO	Putative esterase C31F10.02 (EC 3.1.2.-)	SPBC31F10.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	161	"17,182"			SPBC31F10.02	
O13641	YGWG_SCHPO	Putative methyltransferase SPBC8D2.16c (EC 2.1.1.-)	pi049 SPBC8D2.16c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	315	"35,518"			pi049 SPBC8D2.16c	
O14067	YFF8_SCHPO	Uncharacterized protein C1687.08	SPAC1687.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	96	"11,047"			SPAC1687.08	
O43022	YGV8_SCHPO	Uncharacterized protein C354.08c	SPBC354.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	865	"99,207"			SPBC354.08c	
G2TRM4	YFQC_SCHPO	Uncharacterized protein C8E11.12	SPAC8E11.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	102	"11,893"			SPAC8E11.12	
Q9UTM5	YIJ1_SCHPO	Uncharacterized protein C1420.01c	SPAC1420.01c SPAC56E4.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	580	"63,480"			SPAC1420.01c SPAC56E4.08c	
O42953	YGM4_SCHPO	HMG box-containing protein C19G7.04	SPBC19G7.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	362	"41,628"			SPBC19G7.04	
Q10346	YDA4_SCHPO	Uncharacterized protein C1F12.04c	SPAC1F12.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	191	"21,549"			SPAC1F12.04c	
O14197	YDQ4_SCHPO	Uncharacterized transporter C5D6.04	SPAC5D6.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	452	"49,576"			SPAC5D6.04	
Q9UUA8	YHAG_SCHPO	Uncharacterized protein C409.16c	SPBC409.16c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	120	"13,970"			SPBC409.16c	
G2TRR6	YGIE_SCHPO	Uncharacterized protein C2A9.14	SPBC2A9.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	66	"7,688"			SPBC2A9.14	
Q10448	YDEF_SCHPO	Uncharacterized protein C12B10.15c	SPAC12B10.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	147	"16,880"			SPAC12B10.15c	
Q10435	YDE1_SCHPO	Probable ubiquitin fusion degradation protein C12B10.01c (HECT-type E3 ubiquitin transferase C12B10.01c) (EC 2.3.2.26)	SPAC12B10.01c SPAC31F12.02c SPAC637.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1647	"185,617"			SPAC12B10.01c SPAC31F12.02c SPAC637.15c	
A6X974	YFQ8_SCHPO	Putative uncharacterized protein C8E11.08c	SPAC8E11.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	100	"12,074"			SPAC8E11.08c	
Q10332	YBMA_SCHPO	Uncharacterized ATP-dependent helicase C582.10c (EC 3.6.4.-)	SPBC582.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	830	"93,945"			SPBC582.10c	
O13711	YDZ4_SCHPO	Uncharacterized protein C14C4.04	SPAC14C4.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	267	"29,710"			SPAC14C4.04	
O13944	YEH1_SCHPO	Oxysterol-binding protein homolog C23H4.01c	SPAC23H4.01c SPAP27G11.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	945	"106,810"			SPAC23H4.01c SPAP27G11.01	
O94525	YBU1_SCHPO	Uncharacterized ribonuclease C609.01 (EC 3.1.-.-)	SPBC609.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1157	"128,576"			SPBC609.01	
O43049	PPT1_SCHPO	Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16)	ppt1 SPBC3F6.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	473	"53,291"		ppt1	SPBC3F6.01c	
P25009	PUC1_SCHPO	Cyclin puc1	puc1 SPBC19F5.01c SPBP8B7.32c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	359	"40,430"		puc1	SPBC19F5.01c SPBP8B7.32c	
Q09691	RF1M_SCHPO	"Putative peptide chain release factor 1, mitochondrial (MRF-1) (MtRF-1)"	SPAC2F7.17	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	396	"44,954"			SPAC2F7.17	
