DBID	Systematic_name	Organism	Standard_name	Gene_name	Abundance_median	Abundance_SD	Molecular_weight
S000003328	YGR096W	S. cerevisiae	TPC1	Thiamine Pyrophosphate Carrier	319		35154.3
S000003329	YGR097W	S. cerevisiae	ASK10	Activator of SKn7	2266	1503	126894.8
S000003330	YGR098C	S. cerevisiae	ESP1	Extra Spindle Pole bodies	707	630	187461.5
S000003331	YGR099W	S. cerevisiae	TEL2	TELomere maintenance	889	396	78681.3
S000003332	YGR100W	S. cerevisiae	MDR1	Mac1-Dependent Regulator	2611	782	109232
S000003333	YGR101W	S. cerevisiae	PCP1	Processing of Cytochrome c Peroxidase	927	388	38839.9
S000003334	YGR102C	S. cerevisiae	GTF1	Glutaminyl Transamidase subunit F	1590	711	20797.3
S000003335	YGR103W	S. cerevisiae	NOP7	NucleOlar Protein	9270	5124	69865.8
S000003336	YGR104C	S. cerevisiae	SRB5	Suppressor of RNA polymerase B	1756	1114	34278
S000003337	YGR105W	S. cerevisiae	VMA21	Vacuolar Membrane Atpase	3010	1238	8433.1
S000003338	YGR106C	S. cerevisiae	VOA1	V0 Assembly protein	12800	7794	29642.9
S000003339	YGR107W	S. cerevisiae					17442.7
S000003340	YGR108W	S. cerevisiae	CLB1	CycLin B	576	276	54861
S000003341	YGR109C	S. cerevisiae	CLB6	CycLin B			44149.7
S000003342	YGR110W	S. cerevisiae	CLD1	CardioLipin-specific Deacylase	160	158	52063.3
S000003343	YGR111W	S. cerevisiae			2773	933	46660.3
S000003344	YGR112W	S. cerevisiae	SHY1	SURF Homolog of Yeast	2065	1223	45079.7
S000003345	YGR113W	S. cerevisiae	DAM1	Duo1 And Mps1 interacting	1209	595	38428.5
S000003346	YGR114C	S. cerevisiae					15405.6
S000003347	YGR115C	S. cerevisiae					27236.9
S000003348	YGR116W	S. cerevisiae	SPT6	SuPpressor of Ty's	8837	2877	168205.4
S000003349	YGR117C	S. cerevisiae			2276	681	53437.6
S000003350	YGR118W	S. cerevisiae	RPS23A	Ribosomal Protein of the Small subunit	27232	11417	16061.2
S000003351	YGR119C	S. cerevisiae	NUP57	NUclear Pore	7048	2240	57512.4
S000003352	YGR120C	S. cerevisiae	COG2	Conserved Oligomeric Golgi complex	1989	290	30301.2
S000003353	YGR121C	S. cerevisiae	MEP1		1926	1726	54192.5
S000003354	YGR122W	S. cerevisiae			1463	664	45309.5
S000003355	YGR123C	S. cerevisiae	PPT1	Protein Phosphatase T	6012	1324	57996.7
S000003356	YGR124W	S. cerevisiae	ASN2	ASparagiNe requiring	30867	9592	64574.7
S000003357	YGR125W	S. cerevisiae	VSB1	Vacuolar Storage of Basic amino acids	1631	211	116971.3
S000003358	YGR126W	S. cerevisiae			2147	624	25838.8
S000003359	YGR127W	S. cerevisiae			1083	598	35683.7
S000003360	YGR128C	S. cerevisiae	UTP8	U Three Protein	7347	1205	80168.5
S000003361	YGR129W	S. cerevisiae	SYF2	SYnthetic lethal with cdc40 (Forty)	2581	363	24811
S000003362	YGR130C	S. cerevisiae			7582	3430	92655
S000003363	YGR131W	S. cerevisiae	FHN1	Functional Homolog of Nce102	1133		19162.8
S000003364	YGR132C	S. cerevisiae	PHB1	ProHiBitin	9836	1440	31428.3
S000003365	YGR133W	S. cerevisiae	PEX4	PEroXin	1279	1034	21112.4
S000003366	YGR134W	S. cerevisiae	CAF130	CCR4 Associated Factor	1258	536	128731.2
S000003367	YGR135W	S. cerevisiae	PRE9	PRoteinase yscE	17201	2556	28706.5
S000003368	YGR136W	S. cerevisiae	LSB1	Las Seventeen Binding protein	7101	1775	26136.1
S000003369	YGR137W	S. cerevisiae					14472.4
S000003370	YGR138C	S. cerevisiae	TPO2	Transporter of POlyamines	2938	911	67588.1
S000003371	YGR139W	S. cerevisiae					13265.2
S000003372	YGR140W	S. cerevisiae	CBF2	Centromere-Binding Factor	1505	546	111899.1
S000003373	YGR141W	S. cerevisiae	VPS62	Vacuolar Protein Sorting	746	386	54518.7
S000003374	YGR142W	S. cerevisiae	BTN2	BaTteN disease	1939	32	47148.9
S000003375	YGR143W	S. cerevisiae	SKN1	Suppressor of Kre Null	791	368	86200.7
S000003376	YGR144W	S. cerevisiae	THI4	THIamine metabolism	1728	564	34983.3
S000003377	YGR145W	S. cerevisiae	ENP2	Essential Nuclear Protein	6039	1890	81729
S000003378	YGR146C	S. cerevisiae	ECL1	Extends Chronological Lifespan	909	320	23989.8
S000003379	YGR147C	S. cerevisiae	NAT2	N-terminal AcetylTransferase	2912	1019	32828
S000003380	YGR148C	S. cerevisiae	RPL24B	Ribosomal Protein of the Large subunit	36900	26916	17581
S000003381	YGR149W	S. cerevisiae	GPC1	GlyceroPhosphoCholine acyltransferase	1436	689	51652.9
S000003382	YGR150C	S. cerevisiae	CCM1	COB and COX1 mRNA maturation	1300	726	101433.8
S000003383	YGR151C	S. cerevisiae					13127
S000003384	YGR152C	S. cerevisiae	RSR1	RaS-Related	2714	660	30398
S000003385	YGR153W	S. cerevisiae			1219		25161.3
S000003386	YGR154C	S. cerevisiae	GTO1	Glutathione Transferase Omega-like	1332	101	41306.9
S000003387	YGR155W	S. cerevisiae	CYS4	CYStathionine beta-synthase	45620	13902	56019.3
S000003388	YGR156W	S. cerevisiae	PTI1	PTa1p Interacting protein	3371	900	46981
S000003389	YGR157W	S. cerevisiae	CHO2	CHOline requiring	7198	3311	101210.2
S000003390	YGR158C	S. cerevisiae	MTR3	MRNA TRansport	4067	479	27566.3
S000003391	YGR159C	S. cerevisiae	NSR1		16609	13642	44513.6
S000003392	YGR160W	S. cerevisiae					22116.5
S000003393	YGR161C	S. cerevisiae	RTS3		2113	989	29275.6
S000003394	YGR162W	S. cerevisiae	TIF4631	Translation Initiation Factor	21078	10600	107088.7
S000003395	YGR163W	S. cerevisiae	GTR2	GTp binding protein Resemblance	2471	765	38579.3
S000003396	YGR164W	S. cerevisiae					13206.7
S000003397	YGR165W	S. cerevisiae	MRPS35	"Mitochondrial Ribosomal Protein, Small subunit"	3533	1100	39597.8
S000003398	YGR166W	S. cerevisiae	TRS65	TRapp Subunit	1421	798	63377.5
S000003399	YGR167W	S. cerevisiae	CLC1	Clathrin Light Chain	9998	4596	26500.6
S000003400	YGR168C	S. cerevisiae	PEX35	PEroXin			44341.6
S000003401	YGR169C	S. cerevisiae	PUS6	PseudoUridine Synthase	1044	584	46821.4
S000003402	YGR170W	S. cerevisiae	PSD2	PhosphatidylSerine Decarboxylase	945	385	130069.4
S000003403	YGR171C	S. cerevisiae	MSM1	"Mitochondrial aminoacyl-tRNA Synthetase, Methionine"	1436	566	66745.1
S000003404	YGR172C	S. cerevisiae	YIP1	Ypt-Interacting Protein	2382	879	27077.5
S000003405	YGR173W	S. cerevisiae	RBG2	RiBosome interacting Gtpase	8578	1892	41011.5
S000003406	YGR174C	S. cerevisiae	CBP4	Cytochrome B mRNA Processing	2118	492	20225.4
S000003407	YGR175C	S. cerevisiae	ERG1	ERGosterol biosynthesis	16391	6414	55120.4
S000003408	YGR176W	S. cerevisiae					13691.2
S000003409	YGR177C	S. cerevisiae	ATF2	AcetylTransFerase	2217	1328	61883.4
S000003410	YGR178C	S. cerevisiae	PBP1	Pab1p-Binding Protein	6358	2578	78776.4
S000003411	YGR179C	S. cerevisiae	OKP1	Outer Kinetochore Protein	1586	772	47342.8
S000003412	YGR180C	S. cerevisiae	RNR4	RiboNucleotide Reductase	83447	32163	40041.8
S000003413	YGR181W	S. cerevisiae	TIM13	Translocase of the Inner Mitochondrial membrane	9776	3998	11288
S000003414	YGR182C	S. cerevisiae					13619.2
S000003415	YGR183C	S. cerevisiae	QCR9	ubiQuinol-cytochrome C oxidoReductase	5075	1124	7475.4
S000003416	YGR184C	S. cerevisiae	UBR1		3840	848	224775
S000003417	YGR185C	S. cerevisiae	TYS1	TYrosyl-tRNA Synthetase	28107	2820	44024.4
S000003418	YGR186W	S. cerevisiae	TFG1	Transcription Factor G	4780	2343	82183.5
S000003419	YGR187C	S. cerevisiae	HGH1	HmG1/2 Homolog	7801	1754	44920.6
S000003420	YGR188C	S. cerevisiae	BUB1	Budding Uninhibited by Benzimidazole	414	412	117861.4
S000003421	YGR189C	S. cerevisiae	CRH1	Congo Red Hypersensitive	4917	2759	52737.4
S000003422	YGR190C	S. cerevisiae					13390.1
S000003423	YGR191W	S. cerevisiae	HIP1	HIstidine Permease	2982	1859	66006.9
S000003424	YGR192C	S. cerevisiae	TDH3	Triose-phosphate DeHydrogenase	746358	666753	35745
S000003425	YGR193C	S. cerevisiae	PDX1	Pyruvate Dehydrogenase complex protein X	8067	5616	45356.1
S000003426	YGR194C	S. cerevisiae	XKS1	XyluloKinaSe	3267	853	68316.7
S000003427	YGR195W	S. cerevisiae	SKI6	SuperKIller	3656	1089	27562.1
S000003428	YGR196C	S. cerevisiae	FYV8	Function required for Yeast Viability	3119	2169	90717.2
S000003429	YGR197C	S. cerevisiae	SNG1		648	288	61300.1
S000003430	YGR198W	S. cerevisiae	YPP1	alpha-sYnuclein Protective Protein	1755	588	95342.3
S000003431	YGR199W	S. cerevisiae	PMT6	Protein O-MannosylTransferase	1134	546	88018.7
S000003432	YGR200C	S. cerevisiae	ELP2	ELongator Protein	5451	1306	89384.2
S000003433	YGR201C	S. cerevisiae			2552	2390	26291.2
S000003434	YGR202C	S. cerevisiae	PCT1	Phosphocholine CytidylylTransferase	3089	782	49412.8
S000003435	YGR203W	S. cerevisiae	YCH1	Yeast Cdc25 Homolog	3108	521	17248.8
S000003436	YGR204W	S. cerevisiae	ADE3	ADEnine requiring	40306	8639	102199.2
S000003437	YGR205W	S. cerevisiae	TDA10	Topoisomerase I Damage Affected	4577	2223	33328
S000003438	YGR206W	S. cerevisiae	MVB12	MultiVesicular Body sorting factor of 12 kilodaltons	1683	1085	11969.8
S000003439	YGR207C	S. cerevisiae	CIR1	Changed Intracellular Redox state	7540	2257	28762
S000003440	YGR208W	S. cerevisiae	SER2	SERine requiring	11714	2168	34197.6
S000003441	YGR209C	S. cerevisiae	TRX2	ThioRedoXin	33336	10091	11201
S000003442	YGR210C	S. cerevisiae			4154	988	45217.5
S000003443	YGR211W	S. cerevisiae	ZPR1	Zinc finger PRotein	12248	4899	55042.5
S000003444	YGR212W	S. cerevisiae	SLI1	Sphingosine-Like Immunosuppressant resistant gene	603	47	54467.8
S000003445	YGR213C	S. cerevisiae	RTA1	Resistance To 7-Aminocholesterol			35487
S000003446	YGR214W	S. cerevisiae	RPS0A	Ribosomal Protein of the Small subunit	13774	9156	28006.5
S000003447	YGR215W	S. cerevisiae	RSM27	Ribosomal Small subunit of Mitochondria	2426	1036	12408.9
S000003448	YGR216C	S. cerevisiae	GPI1	GlycosylPhosphatidylInositol anchoring biosynthesis	944	637	70372
S000003449	YGR217W	S. cerevisiae	CCH1	Calcium Channel Homolog	633	469	234618.1
S000003450	YGR218W	S. cerevisiae	CRM1	Chromosome Region Maintenance	8276	2396	124076
S000003451	YGR219W	S. cerevisiae					13268.5
S000003452	YGR220C	S. cerevisiae	MRPL9	"Mitochondrial Ribosomal Protein, Large subunit"	3043	947	29814
S000003453	YGR221C	S. cerevisiae	TOS2	Target Of Sbf	857	800	69463.6
S000003454	YGR222W	S. cerevisiae	PET54	PETite colonies	1282	538	34644.8
S000003455	YGR223C	S. cerevisiae	HSV2	Homologous with SVP1	1063	408	51247.9
S000003456	YGR224W	S. cerevisiae	AZR1	Acetic Acid and AZoles Resistance	1071	141	67181.2
S000003457	YGR225W	S. cerevisiae	AMA1	Activator of Meiotic APC/C			67035.6
S000003458	YGR226C	S. cerevisiae					8248.6
S000003459	YGR227W	S. cerevisiae	DIE2	Derepression of ITR1 Expression	1357	1153	61811
S000003460	YGR228W	S. cerevisiae					11924.9
S000003461	YGR229C	S. cerevisiae	SMI1	Suppressor of MAR Inhibitor	7611	1271	57035.6
S000003462	YGR230W	S. cerevisiae	BNS1	Bypasses Need for Spo12p	1172		15859.6
S000003463	YGR231C	S. cerevisiae	PHB2	ProHiBitin	5993	3807	34420.1
S000003464	YGR232W	S. cerevisiae	NAS6	Non-ATPase Subunit 6	6374	3248	25611.5
S000003465	YGR233C	S. cerevisiae	PHO81	PHOsphate metabolism	3643	1090	134000.3
S000003466	YGR234W	S. cerevisiae	YHB1	Yeast flavoHemogloBin	31688	15127	44636.7
S000003467	YGR235C	S. cerevisiae	MIC26	MItochondrial contact site and Cristae organizing system	3828	666	26919.2
S000003468	YGR236C	S. cerevisiae	SPG1	Stationary Phase Gene	1183		10546.4
S000003469	YGR237C	S. cerevisiae			1503	468	89255.3
S000003470	YGR238C	S. cerevisiae	KEL2	KELch repeat	973	505	99980.1
S000003471	YGR239C	S. cerevisiae	PEX21	PEroXin	2268	55	33046
S000003472	YGR240C	S. cerevisiae	PFK1	PhosphoFructoKinase	77963	35437	107957.4
S000003473	YGR241C	S. cerevisiae	YAP1802	Yeast Assembly Polypeptide	3634	1532	64324.1
S000003474	YGR242W	S. cerevisiae					11550.6
S000003475	YGR243W	S. cerevisiae	MPC3	Mitochondrial Pyruvate Carrier	1864	1701	16242.1
S000003476	YGR244C	S. cerevisiae	LSC2	Ligase of Succinyl-CoA	13149	5520	46901.2
S000003477	YGR245C	S. cerevisiae	SDA1	Severe Depolymerization of Actin	3640	2178	86615.5
S000003478	YGR246C	S. cerevisiae	BRF1	B-Related Factor	2239	261	66903.3
S000003479	YGR247W	S. cerevisiae	CPD1	Cyclic nucleotide PhosphoDiesterase	1864	344	26731.9
S000003480	YGR248W	S. cerevisiae	SOL4	Suppressor Of Los1-1	5890	1885	28439.9
S000003481	YGR249W	S. cerevisiae	MGA1		583	579	50748
S000003482	YGR250C	S. cerevisiae	RIE1	Restoration of Impaired growths of ERMES-lacking cells	3891	1011	89484.5
S000003483	YGR251W	S. cerevisiae	NOP19	NucleOlar Protein	2880	519	22333.8
S000003484	YGR252W	S. cerevisiae	GCN5	General Control Nonderepressible	2135	870	51065.8
S000003485	YGR253C	S. cerevisiae	PUP2	PUtative Proteasome subunit	17100	4224	28596.3
S000003486	YGR254W	S. cerevisiae	ENO1	ENOlase	99031	64617	46811.5
S000003487	YGR255C	S. cerevisiae	COQ6	COenzyme Q	2976	1261	53526
S000003488	YGR256W	S. cerevisiae	GND2	6-phosphoGlucoNateDehydrogenase	3940	3384	53922.4
S000003489	YGR257C	S. cerevisiae	MTM1	Manganese Trafficking factor for Mitochondrial SOD2	1241	550	40779
S000003490	YGR258C	S. cerevisiae	RAD2	RADiation sensitivity	860	407	117804
S000003491	YGR259C	S. cerevisiae					16131.1
S000003492	YGR260W	S. cerevisiae	TNA1	Transporter of Nicotinic Acid	3790	2312	60133.4
S000003493	YGR261C	S. cerevisiae	APL6	clathrin Adaptor Protein complex Large chain	4197	1008	91592
S000003494	YGR262C	S. cerevisiae	BUD32	BUD site selection	2676	516	29940.7
S000003495	YGR263C	S. cerevisiae	SAY1	Steryl Acetyl hYdrolase	1894	918	48541.3
S000003496	YGR264C	S. cerevisiae	MES1	MEthionyl-tRNA Synthetase	29753	10302	85668.8
S000003497	YGR265W	S. cerevisiae					16098.6
S000003498	YGR266W	S. cerevisiae			3230	1379	81183.4
S000003499	YGR267C	S. cerevisiae	FOL2	FOLic acid synthesis	5968	1818	27768.4
S000003500	YGR268C	S. cerevisiae	HUA1		1704	731	22445.6
S000003501	YGR269W	S. cerevisiae					12287.7
S000003502	YGR270W	S. cerevisiae	YTA7	Yeast Tat-binding Analog	2817	1053	157353.3
S000003503	YGR271W	S. cerevisiae	SLH1	SKI2-Like Helicase	1625	710	224827.7
S000003505	YGR273C	S. cerevisiae					20017.9
S000003506	YGR274C	S. cerevisiae	TAF1	TATA binding protein-Associated Factor	1633	434	120695.3
S000003507	YGR275W	S. cerevisiae	RTT102	Regulator of Ty1 Transposition	4437	1781	17792.9
S000003508	YGR276C	S. cerevisiae	RNH70	RNase H	2910	1338	62847.8
S000003509	YGR277C	S. cerevisiae	CAB4	Coenzyme A Biosynthesis	3586	1532	34299.8
S000003510	YGR278W	S. cerevisiae	CWC22	Complexed With Cef1p	2011	1242	67290.8
S000003511	YGR279C	S. cerevisiae	SCW4	Soluble Cell Wall protein	9037	4383	40160.3
S000003512	YGR280C	S. cerevisiae	PXR1	PinX1-Related gene	3881	656	31339.3
S000003513	YGR281W	S. cerevisiae	YOR1	Yeast Oligomycin Resistance	3019	819	166731.9
S000003514	YGR282C	S. cerevisiae	BGL2	Beta-GLucanase	25110	13166	34099.7
S000003515	YGR283C	S. cerevisiae			1895	696	38560.9
S000003516	YGR284C	S. cerevisiae	ERV29	ER Vesicle	6567	2533	35028.2
S000003517	YGR285C	S. cerevisiae	ZUO1	ZUOtin	46597	15022	49022.5
S000003518	YGR286C	S. cerevisiae	BIO2	BIOtin	4780	1420	41891.9
S000003519	YGR287C	S. cerevisiae	IMA1	IsoMAltase	556	196	68571.9
S000003520	YGR288W	S. cerevisiae	MAL13	MALtose fermentation	302	273	54320.8
S000003521	YGR289C	S. cerevisiae	MAL11	MALtose fermentation	7677		67975.9
S000003522	YGR290W	S. cerevisiae					16783.5
S000003523	YGR291C	S. cerevisiae					8457.5
S000003524	YGR292W	S. cerevisiae	MAL12	MALtose fermentation	3173	2523	68078.6
S000003525	YGR293C	S. cerevisiae					17323.6
S000003526	YGR294W	S. cerevisiae	PAU12	seriPAUperin			12816.6
S000003527	YGR295C	S. cerevisiae	COS6	COnserved Sequence	3075	1834	45688.7
S000003528	YGR296W	S. cerevisiae	YRF1-3		635	528	211114.4
S000003529	YHR001W-A	S. cerevisiae	QCR10	ubiQuinol-cytochrome C oxidoReductase	4284	1996	8594
S000003530	YHR005C-A	S. cerevisiae	TIM10	Translocase of the Inner Membrane	10765	4742	10303.8
S000003531	YHR021W-A	S. cerevisiae	ECM12	ExtraCellular Mutant	1247		17442.6
S000003532	YHR049C-A	S. cerevisiae					11551.1
S000003533	YHR139C-A	S. cerevisiae					11912.3
S000003535	YHR214W-A	S. cerevisiae					18045.9
S000003536	YIL014C-A	S. cerevisiae					11649.9
S000003538	YJL001W	S. cerevisiae	PRE3	PRoteinase yscE	15579	4334	23543.8
S000003539	YJL002C	S. cerevisiae	OST1	OligoSaccharylTransferase	10487	3456	54053.1
S000003540	YJL003W	S. cerevisiae	COX16	Cytochrome c OXidase	950	610	14080.2
S000003541	YJL004C	S. cerevisiae	SYS1	Suppressor of Ypt Six	999	761	23713.7
S000003542	YJL005W	S. cerevisiae	CYR1	CYclic AMP Requirement	3250	1197	227830.7
S000003543	YJL006C	S. cerevisiae	CTK2	Carboxy-Terminal domain Kinase	1590	996	37908
S000003544	YJL007C	S. cerevisiae					11855.6
S000003545	YJL008C	S. cerevisiae	CCT8	Chaperonin Containing TCP-1	23371	4456	61651
S000003546	YJL009W	S. cerevisiae					12663.2
S000003547	YJL010C	S. cerevisiae	NOP9	NucleOlar Protein	3745	1052	77726
S000003548	YJL011C	S. cerevisiae	RPC17	RNA Polymerase C	2930	543	18592.3
S000003549	YJL012C	S. cerevisiae	VTC4	Vacuolar Transporter Chaperone	13396	7900	83150.4
S000003550	YJL013C	S. cerevisiae	MAD3	Mitotic Arrest-Deficient	944	443	59523.1
S000003551	YJL014W	S. cerevisiae	CCT3	Chaperonin Containing TCP-1	21093	5874	58807.9
S000003552	YJL015C	S. cerevisiae					11281.6
S000003553	YJL016W	S. cerevisiae	TPH3	Twin PH domain-3	2388	908	63208.3
S000003556	YJL019W	S. cerevisiae	MPS3	MonoPolar Spindle	2239	812	79148.4
S000003557	YJL020C	S. cerevisiae	BBC1	Bni1 synthetic lethal and Bee1 (las17) Complex member	10019	3086	128240.4
S000003559	YJL022W	S. cerevisiae					11535.5
S000003560	YJL023C	S. cerevisiae	PET130	PETite colonies	721		39835.3
S000003561	YJL024C	S. cerevisiae	APS3	clathrin Associated Protein complex Small subunit	3356	1150	21923.8
S000003562	YJL025W	S. cerevisiae	RRN7	Regulation of RNA polymerase I	1192	794	60362
S000003563	YJL026W	S. cerevisiae	RNR2	RiboNucleotide Reductase	19261	16381	46129.7
S000003564	YJL027C	S. cerevisiae			1148		15727.9
S000003565	YJL028W	S. cerevisiae					12913.7
S000003566	YJL029C	S. cerevisiae	VPS53	Vacuolar Protein Sorting	2504	492	95434.4
S000003567	YJL030W	S. cerevisiae	MAD2	Mitotic Arrest-Deficient	1874	764	22278.2
S000003568	YJL031C	S. cerevisiae	BET4	Blocked Early in Transport	1743	552	39674
S000003569	YJL032W	S. cerevisiae					12388.8
S000003570	YJL033W	S. cerevisiae	HCA4	Helicase CA	4854	1760	87192.6
S000003571	YJL034W	S. cerevisiae	KAR2	KARyogamy	37456	19419	74434.4
S000003572	YJL035C	S. cerevisiae	TAD2	tRNA-specific Adenosine Deaminase	1336	421	28251.8
S000003573	YJL036W	S. cerevisiae	SNX4	Sorting NeXin	2687	1024	48996.7
S000003574	YJL037W	S. cerevisiae	IRC18	Increased Recombination Centers	11046		24754.4
S000003575	YJL038C	S. cerevisiae	LOH1	Loss Of Heterozygosity			24842.8
S000003576	YJL039C	S. cerevisiae	NUP192	NUclear Pore	3107	632	191493.4
S000003577	YJL041W	S. cerevisiae	NSP1	NucleoSkeletal-like Protein	10385	5566	86513.9
S000003578	YJL042W	S. cerevisiae	MHP1	MAP-Homologous Protein	2969	744	155204.5
S000003579	YJL043W	S. cerevisiae					29228.6
S000003580	YJL044C	S. cerevisiae	GYP6	Gtpase-activating protein of Ypt6 Protein	2212	389	53804.2
S000003581	YJL045W	S. cerevisiae	SDH9	Succinate DeHydrogenase	10170	3701	69381.4
S000003582	YJL046W	S. cerevisiae	AIM22	Altered Inheritance rate of Mitochondria	1147	593	47003.9
S000003583	YJL047C	S. cerevisiae	RTT101	Regulator of Ty1 Transposition	1107	436	99326.5
S000003584	YJL048C	S. cerevisiae	UBX6	UBiquitin regulatory X	2127	720	45020.9
S000003585	YJL049W	S. cerevisiae	CHM7	CHarged Multivesicular body protein	1930	600	52832.8
S000003586	YJL050W	S. cerevisiae	MTR4	Mrna TRansport	4424	3055	122040.2
S000003587	YJL051W	S. cerevisiae	IRC8	Increased Recombination Centers	1285		91246.4
S000003588	YJL052W	S. cerevisiae	TDH1	Triose-phosphate DeHydrogenase	80420	58298	35752.3
S000003589	YJL053W	S. cerevisiae	PEP8	carboxyPEPtidase Y-deficient	2613	1337	42550.5
S000003590	YJL054W	S. cerevisiae	TIM54	Translocase of the Inner Mitochondrial membrane	3862	1774	54176.2
S000003591	YJL055W	S. cerevisiae	LOG1	LOnely Guy	6507	2273	26855.7
S000003592	YJL056C	S. cerevisiae	ZAP1	Zinc-responsive Activator Protein	1057	681	98854.8
S000003593	YJL057C	S. cerevisiae	IKS1		457	425	75319
S000003594	YJL058C	S. cerevisiae	BIT61	Binding partner of Tor2p	1070	652	60840.7
S000003595	YJL059W	S. cerevisiae	YHC3	Yeast Homolog of human Cln3	1656		46382.5
S000003596	YJL060W	S. cerevisiae	BNA3	Biosynthesis of Nicotinic Acid	7394	3317	50079.7
S000003597	YJL061W	S. cerevisiae	NUP82	NUclear Pore	4443	921	82067
S000003598	YJL062W	S. cerevisiae	LAS21	Local Anestheticum Sensitive	2233	822	94834.5
S000003599	YJL063C	S. cerevisiae	MRPL8	"Mitochondrial Ribosomal Protein, Large subunit"	3555	536	26958.8
S000003600	YJL064W	S. cerevisiae					13854.1
S000003601	YJL065C	S. cerevisiae	DLS1	Dpb3-Like Subunit of ISW2/yCHRAC complex	2713	1112	18771.6
S000003602	YJL066C	S. cerevisiae	MPM1	Mitochondrial Peculiar Membrane protein	3418	2098	28465.2
S000003603	YJL067W	S. cerevisiae					12755.1
S000003604	YJL068C	S. cerevisiae			9042	2152	33929.4
S000003605	YJL069C	S. cerevisiae	UTP18	U Three Protein	5255	2356	66390
S000003606	YJL070C	S. cerevisiae			1569	494	104241.4
S000003607	YJL071W	S. cerevisiae	ARG2	ARGinine requiring	1956	678	65619.9
S000003608	YJL072C	S. cerevisiae	PSF2	Partner of Sld Five	2392	1556	25058
S000003609	YJL073W	S. cerevisiae	JEM1	DnaJ-like protein of the ER Membrane	1663	430	75157.7
S000003610	YJL074C	S. cerevisiae	SMC3	Stability of MiniChromosomes	2745	1096	141316.7
S000003611	YJL075C	S. cerevisiae	APQ13				15629.1
S000003612	YJL076W	S. cerevisiae	NET1	Nucleolar silencing Establishing factor and Telophase regulator	5204	2225	128533.6
S000003613	YJL077C	S. cerevisiae	ICS3	Increased Copper Sensitivity	1229		14839.9
S000003614	YJL078C	S. cerevisiae	PRY3	Pathogen Related in Yeast	4887	1364	89120.2
S000003615	YJL079C	S. cerevisiae	PRY1	Pathogen Related in Yeast	2278	1458	30618.4
S000003616	YJL080C	S. cerevisiae	SCP160	S. cerevisiae protein involved in the Control of Ploidy	34834	14088	134788.8
S000003617	YJL081C	S. cerevisiae	ARP4	Actin-Related Protein	4235	1446	54821.3
S000003618	YJL082W	S. cerevisiae	IML2	Increased Minichromosome Loss	4208	936	82531.5
S000003619	YJL083W	S. cerevisiae	TAX4		207	189	68792.2
S000003620	YJL084C	S. cerevisiae	ALY2	Arrestin-Like Yeast protein	1946	437	117207.5
S000003621	YJL085W	S. cerevisiae	EXO70	EXOcyst	2434	568	71294.2
S000003622	YJL086C	S. cerevisiae					14162.8
S000003623	YJL087C	S. cerevisiae	TRL1	tRNA Ligase	3511	1157	95342.1
S000003624	YJL088W	S. cerevisiae	ARG3	ARGinine requiring	8740	7600	37839.6
S000003625	YJL089W	S. cerevisiae	SIP4	SNF1-Interacting Protein	5733	4552	95998.5
S000003626	YJL090C	S. cerevisiae	DPB11	DNA Polymerase B (II)	540	406	87258.6
S000003627	YJL091C	S. cerevisiae	GWT1	GPI-anchored Wall protein Transfer	3016	779	55484.7
S000003628	YJL092W	S. cerevisiae	SRS2	Suppressor of Rad Six	673	579	134321.7
S000003629	YJL093C	S. cerevisiae	TOK1		4		77406.2
S000003630	YJL094C	S. cerevisiae	KHA1	K/H ion Antiporter	512	469	97097.5
S000003631	YJL095W	S. cerevisiae	BCK1	Bypass of C Kinase	798	686	164246.6
S000003632	YJL096W	S. cerevisiae	MRPL49	"Mitochondrial Ribosomal Protein, Large subunit"	3447	1389	18406.9
S000003633	YJL097W	S. cerevisiae	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis 1	5134	3135	24526.9
S000003634	YJL098W	S. cerevisiae	SAP185	Sit4 Associated Protein	3834	829	121270.8
S000003635	YJL099W	S. cerevisiae	CHS6	CHitin Synthase-related	986	123	86030.1
S000003636	YJL100W	S. cerevisiae	LSB6	Las Seventeen Binding protein	467	408	70209.5
S000003637	YJL101C	S. cerevisiae	GSH1	glutathione (GSH)	3495	1065	78241.2
S000003638	YJL102W	S. cerevisiae	MEF2	Mitochondrial Elongation Factor	1432	762	91278.1
S000003639	YJL103C	S. cerevisiae	GSM1	Glucose Starvation Modulator	942		70386.8
S000003640	YJL104W	S. cerevisiae	PAM16	Presequence translocase-Associated Motor	5256	1826	16222.3
S000003641	YJL105W	S. cerevisiae	SET4	SET domain-containing	955		63869.9
S000003642	YJL106W	S. cerevisiae	IME2	Inducer of MEiosis	538		73562.3
S000003643	YJL107C	S. cerevisiae			1480		42496.4
S000003644	YJL108C	S. cerevisiae	PRM10	Pheromone-Regulated Membrane protein			41491.9
S000003645	YJL109C	S. cerevisiae	UTP10	U Three Protein	8151	2528	200069.9
S000003646	YJL110C	S. cerevisiae	GZF3	Gata Zinc Finger protein	1722	822	60537.8
S000003647	YJL111W	S. cerevisiae	CCT7	Chaperonin Containing TCP-1	16084	4885	59725.2
S000003648	YJL112W	S. cerevisiae	MDV1	Mitochondrial DiVision	2355	1285	80016
S000003651	YJL115W	S. cerevisiae	ASF1	Anti-Silencing Function	4258	400	31533.1
